npsn,level,name
10209403,SMK,SMKS MELATI PERBAUNGAN
10209407,SMK,SMKS KARYA UTAMA 2
10209408,SMK,SMKS KARYA SETIA PEGAJAHAN
10209412,SMA,SMAS MIFTAHUL IRSYAD
10209413,SMA,SMA SWASTA METHODIST EL-SHADDAY
10209419,SMA,SMAS PEMBANGUNAN
10209421,SMA,SMAS R A KARTINI
10209423,SMA,SMAS YAPIM KP PON
10209427,SMA,SMAS SATRIA DHARMA
10209429,SMA,SMAS SADAR NAGARAJA
10209430,SMA,SMAS JAYA LESTARI
10210416,SMA,SMAS AL WASHLIYAH 3 MEDAN
10210702,SMA,SMAS BODHICITTA MEDAN
10210705,SMA,SMAS DR WAHIDIN SUDIROHUSODO MEDAN
10210706,SMA,SMAS DWIWARNA
10210707,SMA,SMAS EKA PRASETYA
10210708,SMA,SMAS EKKLESIA
10210709,SMA,SMAS ERIA MEDAN
10210710,SMA,SMAS FREE METHODIST
10210711,SMA,SMA GAJAH MADA
10210712,SMA,SMAS GKPI PADANG BULAN
10210714,SMA,SMAS HANG KESTURI
10210715,SMA,SMAS DHARMA WANITA PERSATUAN
10210716,SMA,SMAS DHARMA SAKTI
10210717,SMA,SMAS DHARMA PANCASILA
10210718,SMA,SMA SWASTA BUDI AGUNG
10210720,SMA,SMAS KATOLIK BUDI MURNI 1
10210721,SMA,SMAS BUDISATRYA
10210723,SMA,SMAS BUDI UTOMO
10210725,SMA,SMAS CAHAYA MEDAN
10210729,SMA,SMAS DHARMA JAYA
10210730,SMA,SMAS HANG TUAH BELAWAN
10210731,SMA,SMAS HARAPAN MEDAN
10210733,SMA,SMAS KATOLIK BUDI MURNI 2
10210734,SMA,SMAS KATOLIK MARIANA
10210736,SMA,SMAS KEBANGSAAN
10210738,SMA,SMAS KESATRIA MEDAN
10210740,SMA,SMAS KRAKATAU MEDAN
10210742,SMA,SMAS NASRANI 2 MEDAN
10210745,SMA,SMAS KARTIKA 1-2 MEDAN
10210746,SMA,SMAS KARTIKA 1 -1 MEDAN
10210747,SMA,SMAS HARAPAN MANDIRI
10210749,SMA,SMAS HKBP SIDORAME
10210750,SMA,SMAS HUSNI THAMRIN
10210751,SMA,SMAS INDONESIA MEMBANGUN
10210752,SMA,SMAS IRA MEDAN
10210755,SMA,SMAS ISLAM AZIZI
10210756,SMA,SMAS JENDERAL SUDIRMAN
10210757,SMA,SMAS JOSUA MEDAN
10210759,SMA,SMAS LAKSAMANA MARTADINATA
10210760,SMA,SMAS BUDAYA
10210761,SMK,SMKS QUICKLY MEDAN
10210779,SMK,SMKS SILOAM 1
10210780,SMK,SMKS TELADAN MEDAN
10210781,SMK,SMKS TELADAN SUMATERA UTARA 1
10210782,SMK,SMKS TELKOM SANDHY PUTRA MEDAN
10210785,SMK,SMK 2 SWASTA MULIA MEDAN
10210788,SMK,SMKS RAKSANA 1
10210792,SMK,SMKS BAHARI HANG TUAH
10210794,SMA,SMAS AL WASHLIYAH PASAR SENEN
10210795,SMA,SMAS AMAL BAKTI
10210796,SMA,SMAS AMIR HAMZAH
10210797,SMA,SMAS AN NIZAM
10210798,SMA,SMAS ANGKASA 1 LANUD MEDAN
10210800,SMA,SMAS APIPSU MEDAN
10210801,SMA,SMAS AR RAHMAN
10210802,SMA,SMAS BINA BERSAUDARA
10210804,SMA,SMAS SWA BINA KARYA MEDAN
10210806,SMA,SMAS AL FATTAH
10210812,SMA,SMAS BUDI LUHUR
10210814,SMA,SMAS ADVENT 1 MEDAN
10210815,SMA,SMAS ADVENT AIR BERSIH MEDAN
10210816,SMA,SMAS AL BUKHARI MUSLIM
10210817,SMA,SMAS AL ITTIHADIYAH
10210818,SMA,SMAS AL ULUM MEDAN
10210819,SMA,SMAS AL WASHLIYAH 1 MEDAN
10210820,SMA,SMAS BRIGJEND KATAMSO
10210821,SMA,SMAS NASRANI 3 MEDAN
10210822,SMA,SMAS TAMANSISWA SINGOSARI
10210823,SMA,SMAS TELADAN CINTA DAMAI
10210824,SMA,SMAS TELADAN MEDAN
10210826,SMA,SMAS TRI MURNI
10210827,SMA,SMAS TUNAS GAJAH MADA
10210828,SMA,SMAS UISU MEDAN
10210829,SMA,SMAS WR SUPRATMAN 1
10210830,SMA,SMAS WIDIASANA UTAMA
10210832,SMA,SMAS WR SUPRATMAN 2
10210834,SMA,SMAS DHARMA BAKTI MEDAN
10210836,SMA,SMAS SUTOMO 2
10210837,SMA,SMAS UTAMA
10210838,SMA,SMAS SRIWIJAYA MEDAN
10210839,SMA,SMAS ANTONIUS BANGUN MULIA MEDAN
10210840,SMA,SMAS ST PETRUS MEDAN
10210842,SMA,SMAS SUCI MURNI
10210843,SMA,SMAS SULTAN ISKANDAR MUDA
10210844,SMA,SMA SWASTA SUPRIYADI MEDAN
10210846,SMA,SMAS SUTAN OLOAN
10210848,SMA,SMAS SUTOMO 1
10210849,SMA,SMAS YAPSI
10210866,SMA,SMAS MEDAN PUTRI
10210868,SMA,SMAS YPK MEDAN
10210869,SMA,SMAS MARISI MEDAN
10210871,SMA,SMAS HARAPAN MEKAR
10210879,SMA,SMAS SANTO THOMAS 3 MEDAN
10210880,SMA,SMAS LETJEND HARYONO MT
10210881,SMA,SMAS MULIA PRATAMA
10210883,SMA,SMAS NASRANI 1 MEDAN
10210886,SMA,SMAS NUR HASANAH MEDAN
10210887,SMA,SMAS NURANI
10210889,SMA,SMAS NURCAHAYA
10210891,SMA,SMAS NURUL ISLAM INDONESIA
10210893,SMA,SMAS PADAMU NEGERI MEDAN
10210894,SMA,SMAS PALAPA MEDAN
10210896,SMA,SMAS MULIA MEDAN
10210898,SMA,SMAS LETJEN S PARMAN
10210899,SMA,SMAS MAMIYAI AL-ITTIHADIYAH
10210900,SMA,SMAS MARKUS MEDAN
10210901,SMA,SMAS MAYJEND SUTOYO SM
10210902,SMA,SMAS METHODIST 1 MEDAN
10210903,SMA,SMAS METHODIST 2 MEDAN
10210905,SMA,SMAS METHODIST 7 MEDAN
10210906,SMA,SMAS METHODIST 8 MEDAN
10210907,SMA,SMAS METHODIST 4 MEDAN
10210908,SMA,SMAS MUHAMMADIYAH 2 MEDAN
10210909,SMA,SMAS MUHAMMADIYAH 01 MEDAN
10210911,SMA,SMAS PARULIAN 1
10210917,SMA,SMAS TAMANSISWA POLONIA
10210919,SMA,SMAS BUDI INSANI
10210920,SMA,SMAS GAJAH MADA 2
10210922,SMA,SMAS SANTA MARIA MEDAN
10210923,SMA,SMAS SANTO THOMAS 1 MEDAN
10210924,SMA,SMAS RAKSANA
10210926,SMA,SMAS PRAYATNA MEDAN
10210927,SMA,SMAS PARULIAN 2
10210928,SMA,SMAS PENCAWAN
10210929,SMA,SMAS NASIONAL GULTOM
10210931,SMA,SMAS PANCA BUDI MEDAN
10210933,SMA,SMAS PGRI 1 MEDAN
10210934,SMA,SMAS PGRI 12 MEDAN
10210939,SMA,SMAS SANTO THOMAS 2 MEDAN
10210940,SMK,SMKS PULAU BRAYAN DARAT
10210975,SMK,SMK SWASTA MULIA MEDAN
10210979,SMK,SMKS AL-WASHLIYAH PASAR SENEN 1
10210982,SMK,SMKS BM AL FATTAH
10210998,SMK,SMKS AMIR HAMZAH
10211064,SMK,SMKS AL FATTAH 2
10211065,SMK,SMKS AL-WASHLIYAH PASAR SENEN 2
10211066,SMK,SMKS AL WASHLIYAH 4 MEDAN
10211068,SMK,SMKS BINA BERSAUDARA 2 MEDAN
10211069,SMK,SMKS SWA BINA KARYA
10211071,SMK,SMKS BINA SATRIA
10211072,SMK,SMKS BINA TARUNA 1
10211075,SMK,SMKS SULTAN ISKANDAR MUDA
10211076,SMK,SMKS YWKA MEDAN
10211078,SMK,SMKS TELADAN SUMATERA UTARA 2
10211085,SMK,SMKS YASPI LABUHANDELI
10211086,SMK,SMKS BUDI INSANI
10211087,SMK,SMKS YPK
10211088,SMK,SMKS MARISI
