npsn,name
10210736,SMAS KEBANGSAAN
10210738,SMAS KESATRIA MEDAN
10210740,SMAS KRAKATAU MEDAN
10210747,SMAS HARAPAN MANDIRI
10210750,SMAS HUSNI THAMRIN
10210751,SMAS INDONESIA MEMBANGUN
10210755,SMAS ISLAM AZIZI
10210756,SMAS JENDERAL SUDIRMAN
10210757,SMAS JOSUA MEDAN
10210794,SMAS AL WASHLIYAH PASAR SENEN
10210796,SMAS AMIR HAMZAH
10210798,SMAS ANGKASA 1 LANUD MEDAN
10210801,SMAS AR RAHMAN
10210802,SMAS BINA BERSAUDARA
10210804,SMAS SWA BINA KARYA MEDAN
10210806,SMAS AL FATTAH
10210812,SMAS BUDI LUHUR
10210815,SMAS ADVENT AIR BERSIH MEDAN
10210816,SMAS AL BUKHARI MUSLIM
10210817,SMAS AL ITTIHADIYAH
10210819,SMAS AL WASHLIYAH 1 MEDAN
10210820,SMAS BRIGJEND KATAMSO
10210826,SMAS TRI MURNI
10210827,SMAS TUNAS GAJAH MADA
10210828,SMAS UISU MEDAN
10210829,SMAS WR SUPRATMAN 1
10210832,SMAS WR SUPRATMAN 2
10210837,SMAS UTAMA
10210838,SMAS SRIWIJAYA MEDAN
10210840,SMAS ST PETRUS MEDAN
10210842,SMAS SUCI MURNI
10210846,SMAS SUTAN OLOAN
10210848,SMAS SUTOMO 1
10210849,SMAS YAPSI
10210851,SMAN 17 MEDAN
10210852,SMAN 18 MEDAN
10210853,SMAN 2 MEDAN
10210854,SMAN 20 MEDAN
10210855,SMAN 21 MEDAN
10210857,SMAN 4 MEDAN
10210858,SMAN 5 MEDAN
10210860,SMAN 7 MEDAN
10210861,SMAN 8 MEDAN
10210862,SMAN 9 MEDAN
10210863,SMAN 16 MEDAN
10210864,SMAN 15 MEDAN
10210866,SMAS MEDAN PUTRI
10210869,SMAS MARISI MEDAN
10210873,SMAN 1 MEDAN
10210874,SMAN 10 MEDAN
10210875,SMAN 11 MEDAN
10210876,SMAN 12 MEDAN
10210877,SMAN 13 MEDAN
10210879,SMAS SANTO THOMAS 3 MEDAN
10210880,SMAS LETJEND HARYONO MT
10210883,SMAS NASRANI 1 MEDAN
10210886,SMAS NUR HASANAH MEDAN
10210887,SMAS NURANI
10210889,SMAS NURCAHAYA
10210891,SMAS NURUL ISLAM INDONESIA
10210906,SMAS METHODIST 8 MEDAN
10210919,SMAS BUDI INSANI
10210920,SMAS GAJAH MADA 2
10210922,SMAS SANTA MARIA MEDAN
10210923,SMAS SANTO THOMAS 1 MEDAN
10210926,SMAS PRAYATNA MEDAN
10210928,SMAS PENCAWAN
10210929,SMAS NASIONAL GULTOM
10210931,SMAS PANCA BUDI MEDAN
10210933,SMAS PGRI 1 MEDAN
10210934,SMAS PGRI 12 MEDAN
10210939,SMAS SANTO THOMAS 2 MEDAN
10210971,SMAN 19 MEDAN
10211290,SMAS ABDI NEGARA
10211291,SMAS AHMAD YANI
10211292,SMAS AN NADWA ISLAMIC CENTRE
10211303,SMAS LANGKAT
10211305,SMAN 1 BINJAI
10211306,SMAS YPIS MAJU
10211309,SMA SWASTA TAMAN SISWA
10211312,SMAS SANTO THOMAS 4
10211313,SMAS PALAPA
10211315,SMAS MUHAMMADIYAH 12
10211317,SMAN 2 BINJAI
10211390,SMAN 4 BINJAI
10211534,SMA SWASTA IR. H. DJUANDA
10211538,SMA SWASTA OSTROM METHODIST
10211541,SMA SWASTA SURYA NUSANTARA
10211564,SMA SWASTA TOGAMA
10211565,SMA NEGERI 1 TEBING TINGGI
10211586,SMA NEGERI 2 TEBING TINGGI
10211587,SMA NEGERI 3 TEBING TINGGI
10211681,SMAS YP MAHK
10211683,SMAS MARS
10211684,SMAS MELATI
10211685,SMAS METHODIST
10211686,SMAS PELITA
10211688,SMAS KAMPUS NOMMENSEN
10211689,SMAS HARAPAN
10211696,SMAS PGRI 10
10211697,SMAS BINTANG TIMUR
10211703,SMAN 3 PEMATANG SIANTAR
10211704,SMAN 2 PEMATANG SIANTAR
10211706,SMAS HKBP 1
10211708,SMAS TELADAN
10211709,SMAS SURYA MURNI
10211710,SMAS SURYA
10211712,SMAS SEMINARI
10212010,SMAN 4 TANJUNGBALAI
10212011,SMAN 3 TANJUNGBALAI
10212023,SMA SWASTA TRITUNGGAL
10212099,SMAS MUHAMMADIYAH 15 SIBOLGA
10212114,SMAS PGRI 14 SIBOLGA
10212115,SMAS TRI RATNA SIBOLGA
10212116,SMAN 1 SIBOLGA
10212130,SMAN 2 SIBOLGA
10212131,SMAN 3 SIBOLGA
10212196,SMAS HARAPAN PADANG SIDIMPUAN
10212197,SMAS KAMPUS
10212201,SMAN 1 PADANG SIDEMPUAN
10212217,SMAN 2 PADANG SIDEMPUAN
10212243,SMAN 3 PADANG SIDEMPUAN
10212244,SMAN 4 PADANG SIDEMPUAN
10212246,SMAN 6 PADANG SIDEMPUAN
10212248,SMAN 8 PADANG SIDEMPUAN
10212416,SMAS KELUARGA
10212418,SMAS TRISAKTI
10212445,SMA SWASTA DAR - ALFALAH
10212553,SMAS HKBP PADANGSIDIMPUAN
10212577,SMA NEGERI 7
10212578,SMAN 6 BINJAI
10212720,SMAS TRISAKTI LAGUBOTI
10212763,SMAN 1 LOLOFITU MOI
10212766,SMA SWASTA KRISTEN BNKP GUNUNGSITOLI
10214105,SMAS ANDREAS SUNGGAL
10214107,SMAS BAYU PERTIWI
10214122,SMAS KARYA PEMBANGUNAN DELI TUA
10214125,SMAS KARYA PENDIDIK
10214128,SMAS MUHAMMADIYAH 18 SUNGGAL
10214132,SMAN 1 GALANG
10214134,SMAN 1 LUBUK PAKAM
10214135,SMAN 1 PANCUR BATU
10214136,SMAN 1 PERCUT SEI TUAN
10214137,SMAN 1 SIBOLANGIT
10214138,SMAN 1 TANJUNG MORAWA
10214140,SMAS NILA HARAPAN SUNGGAL
10214144,SMAS NUSANTARA LUBUK PAKAM
10214147,SMAS PAB 6 HELVETIA
10214149,SMAS PAB 9 PATUMBAK
10214150,SMAS PAMASTA TANJUNG MORAWA
10214151,SMAS PANCA JAYA GALANG
10214152,SMAS PANGERAN ANTASARI
10214154,SMAS PERSIAPAN SUNGGAL
10214157,SMAS METHODIST KUTALIMBARU
10214159,SMA SWASTA RAKYAT SEI GLUGUR
10214167,SMAS SINGOSARI DELI TUA
10214172,SMAS MASEHI SEBIRU BIRU
10214174,SMAS METHODIST TANJUNG MORAWA
10214177,SMAS PEMNAS PAGAR MERBAU
10214179,SMAS PGRI 37 BATANG KUIS
10214186,SMAS TAMORA
10219061,SMAS PAB 5 KLUMPANG
10219089,SMAS SINAR HUSNI LABUHAN DELI
10219105,SMAN 1 BANGUN PURBA
10219109,SMAN HAMPARAN PERAK
10219149,SMAS PEMNAS PANTAI LABU
10219151,SMAS PGRI 24 TALUN KENAS
10219920,SMAS JAYA KRAMA BERINGIN
10219922,SMAN 1 DELI TUA
10219923,SMAN GUNUNG MERIAH
10220210,SMAS PGRI 20 SIBORONGBORONG
10220213,SMAS DHARMA BAKTI
10220214,SMAS HARAPAN BANGSA TJ MORAWA
10220218,SMAN 1 SUNGGAL
10220221,SMAS PRIMA NUSANTARA LUBUK PAKAM
10220224,SMAS SUMATERA TJ MORAWA
10220225,SMAS YAPIM BIRU-BIRU
10220228,SMAS HARAPAN PAYA BAKUNG
10220290,SMAS PARSAORAN
10220294,SMAN 1 PARMONANGAN
10220295,SMAN 1 SIPAHUTAR
10220297,SMAN 2 TARUTUNG
10220320,SMAS YAPIM MABAR
10220517,SMAS SW EKA SATRIA
10220518,SMAS SW ST FRANSISKUS
10220520,SMAN 1 KOLANG
10220522,SMAN 1 SIRANDORUNG
10220545,SMAN 1 SIBORONGBORONG
10220596,SMAN 1 SIEMPAT NEMPU HULU
10220598,SMAS PARULIAN BALNA
10220599,SMAN 1 SILAHISABUNGAN
10220615,SMAN 1 DOLOK SIGOMPULON
10220645,SMAS ABDI UTAMA
10220770,SMAN 1 SIMANGAMBAT
10220878,SMAN 1 SOSOPAN
10239051,SMAN 1 SITU JULU
10257391,SMAN 1 TARABINTANG
10257392,SMAN 1 BAKTI RAJA
10257549,SMAS RAHMAT ISLAMIYAH
10257550,SMAS ASUHAN DAYA
10257583,SMAN 1 LAE PARIRA
10257594,SMAN 2 PLUS PANYABUNGAN
10257659,SMAS MARDI LESTARI
10257660,SMAS METHODIST 5 MEDAN
10257679,SMAN 1 PANYABUNGAN SELATAN
10257744,SMAN 1 TELUK MENGKUDU
10257745,SMAN 1 TEBING TINGGI
10257746,SMAN 1 DOLOK MERAWAN
10257749,SMAN 1 PEGAJAHAN
10257751,SMAS YAPIM SYAH BANDAR
10257790,SMAS HKBP LINTONGNIHUTA
10257811,SMA NEGERI 1 HUTARAJA TINGGI
10257998,SMAS SANIAH
10258023,SMAS KATOLIK TRI SAKTI
10258030,SMAS HKI TARUTUNG
10258034,SMAS SWAKARYA
10258041,SMAN 1 LINGGA BAYU
10258047,SMAS PRIMBANA
10258062,SMA SWASTA METHODIST
10258248,SMA NEGERI 1 FANAYAMA
10258256,SMA SWASTA KAMPUS TELUKDALAM
10258257,SMA NEGERI 1 AMANDRAYA
10258258,SMA NEGERI 1 ARAMO
10258261,SMA SWASTA FAJAR MAS
10258262,SMA SWASTA AMAL MAS
10258263,SMA NEGERI 1 GOMO
10258264,SMA NEGERI 1 ULU IDANOTAE
10258267,SMA SWASTA MITROS
10258268,SMA SWASTA HARAPAN BARU
10258269,SMA NEGERI 1 LOLOWA U
10258272,SMA NEGERI 1 OOU
10258275,SMA NEGERI 1 LOLOMATUA
10258276,SMA NEGERI 2 HURUNA
10258277,SMA NEGERI 1 PULAU PULAU BATU
10258322,SMAN 1 LAHEWA
10258330,SMAN 1 MANDREHE UTARA
10258337,SMAN 1 AFULU
10258425,SMAN 2 MANDREHE
10258426,SMAS BNKP KARMEL
10258440,SMAN 1 LOTU
10258468,SMA NEGERI UNGGULAN SUKMA NIAS
10258492,SMAS ETISLANDIA
10258504,SMAN 1 SIROMBU
10258812,SMAN 1 BAWOLATO
10259034,SMA NEGERI 2 GUNUNGSITOLI
10259074,SMAS BANI ADAM AS
10259084,SMA SWASTA SANTU XAVERIUS GUNUNGSITOLI
10259101,SMA SWASTA PEMBDA 2 GUNUNGSITOLI
10259218,SMAS ERA UTAMA PANCUR BATU
10259248,SMAS KRISTEN IMMANUEL
10259259,SMAS LINGGA TEMBA
10259295,SMAS DOREMA
10259341,SMAN 1 PANYABUNGAN UTARA
10259432,SMAS AL WASLIYAH 7
10259547,SMA NEGERI 1 UJUNG PADANG
10259553,SMAN 1 HUTABARGOT
10259560,SMAS PEMBANGUNAN NASIONAL
10259564,SMAN 7 TANJUNGBALAI
10259677,SMAN 1 RONGGURNIHUTA
10259718,SMAS PURNA YUDHA SEI RAKYAT
10259823,SMA NEGERI 1 PEMATANG BANDAR
10259844,SMAS KARYA BHAKTI
10259849,SMAS BUNGA BANGSA
10259856,SMAN 1 PINTU POHAN MERANTI
10259857,SMAS ERLANGGA
10259859,SMA SWASTA BERDIKARI
10260057,SMAN 1 AEK KUO
10260072,SMAS KARTINI UTAMA
10260076,SMA SWASTA BINA BANGSA
10260094,SMAS ADVENT NIAS
10260099,SMAN 2 DOLOKSANGGUL
10260179,SMAS JABAL THARIQ
10260259,SMAS SWADAYA
10260454,SMA NEGERI 2 LAHUSA
10260455,SMA NEGERI 1 MAZINO
10260457,SMA NEGERI 1 HIBALA
10260484,SMA NEGERI 1 DOLOK SILOU
10260520,SMAN 5 PEMATANG SIANTAR
10260679,SMA NEGERI 1 UMBUNASI
10260680,SMA NEGERI 1 MAZO
10260764,SMAN 1 NAGA JUANG
10260770,SMAS SULTAN HASANUDDIN
10260915,SMA NEGERI 1 AIR PUTIH
10260916,SMA SWASTA MUHAMMADIYAH 17
10260917,SMA SWASTA CITRA MEDANG DERAS
10260918,SMA SWASTA YPK KEDAISIANAM
10260958,SMA SWASTA BUDI LUHUR
10261027,SMA SWASTA INDONESIA MEMBANGUN TARUNA
10261051,SMAN 1 SILINDAK
10261181,SMA NEGERI 1 MARDINDING
10261212,SMA NEGERI 1 KUTABULUH
10261247,SMA SWASTA TAMANSISWA SIDOMULYO
10261281,SMA NEGERI 2 SUSUA
10261282,SMA NEGERI 1 SIDUAORI
10261297,SMA NEGERI 1 ULUNOYO
10261298,SMAN 1 TINADA
10261305,SMA SWASTA MUHAMMADIYAH
10261406,SMAS VALENTINE
10262109,SMAS KESUMA BANGSA LONDUT
10262150,SMA NEGERI 1 LUAHAGUNDRE MANIAMOLO
10262331,SMA SWASTA AL - AZHAR
10262430,SMAS ISLAM KHAIRUL IMAM
10263512,SMAN 6 PEMATANGSIANTAR
10263516,SMA SWASTA SWASTA YAPIM INDRAPURA
10263531,SMAS SWASTA ANASTASIA
10263538,SMAS UNGGUL DEL
10264690,SMA NEGERI 1 BARUMUN SELATAN
10300287,SMA NEGERI 1 TANJUNG MUTIARA
10300290,SMA NEGERI 3 LUBUK BASUNG
10300296,SMA NEGERI 1 BANUHAMPU
10300297,SMA NEGERI 1 BASO
10300301,SMA NEGERI 1 MATUR
10300302,SMA NEGERI 1 PALEMBAYAN
10300827,SMAN 1 TIGO NAGARI
10300828,SMAN 1 RAO
10300833,SMAS YAPPAS PASAMAN
10300834,SMAS PGRI RAO SELATAN
10300835,SMAS IMAM BONJOL
10301185,SMAN 1 KAPUR IX
10301187,SMAN 1 GUGUAK
10301577,SMAN 1 X KOTO DIATAS
10301790,SMAN 1 LUBUK ALUNG
10301791,SMAN 1 BATANG ANAI
10302014,SMAN 1 PAINAN
10302015,SMAN 1 PANCUNG SOAL
10302016,SMAN 1 RANAH PESISIR
10302017,SMAN 1 SUTERA
10302020,SMAN 2 PAINAN
