"npsn","naungan","npyp","link"
"10108199","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10108208","Yayasan SMK Darma Shalihat Alue Bilie","AL9512","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8F4E32DE-F94E-4AF2-99AB-EDAE2A8B547B"
"10108217","Yayasan Al Madaniyah","AB5533","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=87B3C051-48C5-4ED2-9966-9B0047870F24"
"10108221","Yayasan Al - Azhar","AB5492","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7DC9ED21-7142-4C6A-931C-BA587092F17B"
"10108240","Yayasan Baitul A'la","AK3452","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7CA33170-C074-4BC2-8695-EDCFC8548486"
"10108261","Yayasan MADINATUL ULUM DINIYAH ISLAMIYAH","AE7982","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DF6585B2-F0AE-42A4-A886-B7E5BC055AA2"
"10108271","Yayasan Daul Mukhlishin","AL9469","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=73584477-8ED4-41A7-8776-4B2FFAE57FAC"
"10110273","Pemerintah Daerah","-",""
"10110276","YAYASAN PENDIDIKAN AL FITRI MUTIARA","AK3444","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FB36DCAD-685B-4C44-BDF3-3AFC7EC462BA"
"10110353","","",""
"10110356","","",""
"10110357","","-",""
"10110461","Yayasan Nurul Islam","AN2508","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=14497F3F-7B9A-4132-A328-0473B40CDD6F"
"10110569","","",""
"10110593","YAYASAN KESEJAHTERAAN KARYAWAN PUPUK ISKANDAR MUDA","AB5567","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DED170EC-9046-45E1-891C-8ACFB6C054EA"
"10110650","Yayasan Ma'had Ulumuddin","AL9581","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=89C417B2-508C-49E9-A2A8-4E9A0954B5DE"
"10110683","Yayasan 'BINA GENERASI BANGSA    ","AK3586","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2478C129-65CD-4127-A68E-63267906F33E"
"10110706","Pemerintah Daerah","AW8754","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D3AC7394-AF8C-461C-B6BC-AFD983EB8B21"
"10110740","Yayasan Darul Abrar","AE7942","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2EEA5E2C-4D9D-11E3-93AC-27DFDC201C52"
"10110792","","",""
"10110818","YAYASAN CUT MUTIA","AK3703","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2801A8F5-7101-47D8-8F13-311D3A7AC882"
"10111321","Yayasan Jannatul Firdaus","AO1685","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0C197400-F070-4968-956F-1EF9FA3319D0"
"10111326","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10111502","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10111578","","-",""
"10112852","Yayasan TAUTHIATUT THULLAB","AH1768","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B1A0A13F-004D-4BF9-AB35-42D09BC7422B"
"10112892","","-",""
"10112901","YAYASAN DARUSSA`ADAH","AE7694","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E0E75BC7-FBB3-40D8-945B-23348A375ECB"
"10112955","Yayasan Pendidikan Islam dan Panti Asuhan Diniah Islamiyah Bustanul Yatama","AN2492","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F3F0DE18-3BA6-4883-B5CC-4B2E4FEAE4E4"
"10113041","Yayasan Pendidikan Bhakti Husada Kuningan- Aceh Utara (YPBHK-AU)","AN2658","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=822BF5FE-080D-413F-AEDE-1C40EB42A167"
"10113367","Yayasan AULADINA","AO1705","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E350EB3E-D6EB-497D-B5DB-4A1B674E9355"
"10113369","Lainnya","AB5760","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D4E28FB6-7D7F-42F4-8BFF-B491E97B01C7"
"10113405","Yayasan AL-HIDAYAH","AH1856","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9889DC40-538D-11E3-8A83-27946FB22EFB"
"10113409","YAYASAN DAYAH AL-MADINATUL MUNAWWARAH AL-WAALIYYAH","AE7690","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=278F26D5-F06E-4C91-992E-E1C22E8DD83C"
"10113435","YAYASAN ABU TANOH MIRAH DARUL ULUM","AX9481","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5DF06383-ED47-440E-9847-B4CBB5619FCE"
"10113601","Yayasan Assyifa Aceh","AK3713","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A388B9F5-EE4B-42B5-AEB3-90003481715D"
"10200410","","-",""
"10200411","Yayasan Persatuan Perguruan Tamansiswa Cabang Galang","AE8190","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A3552666-5072-11E3-9BBD-174131C05AD4"
"10200412","Yayasan Perguruan Rokita Sari","AE8164","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=60FD97E9-AECF-4EF6-814A-128A04267662"
"10200413","Yayasan Perguruan Pembangunan Galang","AE8205","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1363F5D5-18F7-E111-BC25-515CE16FD08B"
"10200414","Yayasan Perguruan Panca Jaya","AE8200","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=CB5EC4F0-54AA-11E3-9EF4-4FBB91CCD8B6"
"10200421","Yayasan Perkumpulan Amal Bakti  Sumatera Utara","AB7817","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2EF2CDBB-6538-48C1-8594-47354F2CA2ED"
"10200424","Yayasan Persatuan Perguruan Tamansiswa Cabang Galang","AE8190","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A3552666-5072-11E3-9BBD-174131C05AD4"
"10200425","Yayasan Perguruan Rokita Sari","AE8164","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=60FD97E9-AECF-4EF6-814A-128A04267662"
"10200432","","",""
"10200433","YAYASAN PERGURUAN ISTIQLAL","AK3828","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A6012DA8-15E4-462D-94EB-B417CEDC3352"
"10200435","Yayasan  Perguruan Nasional Desa Maju","AE8347","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2A5A432F-A199-44F6-A24C-07BF24F0E06C"
"10200436","Yayasan Pendidikan Cerdas Bangsa","AE8132","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=31E49715-F309-483C-9580-67F7C5620FBE"
"10200443","","",""
"10200446","Yayasan Reis Cendikia","AB6434","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=402329FB-FA1C-4DB3-90C6-51B687BCA16B"
"10200447","Yayasan Perguruan Pembangunan Galang","AE8205","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1363F5D5-18F7-E111-BC25-515CE16FD08B"
"10200448","YAYASAN BINA PELAJAR INDONESIA","AL9663","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=AA573E54-C73F-477E-AEA7-26E0ACAA817B"
"10201984","YAYASAN PENDIDIKAN GEREJA MASEHI ADVENT HARI KETUJUH SUMATERA UTARA","AE9677","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=09E177C2-3E48-11E4-BBF8-9B36FB2F7F6D"
"10201996","YAYASAN PERGURUAN BERSAMA BERASTAGI","AY0395","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=494EF8C8-16A4-4D85-95DA-60B1EA1C04E7"
"10201997","","-",""
"10201998","","-",""
"10202001","YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN","AB7849","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8E2E76E3-FDAF-40CA-96EB-B018D36A6BB0"
"10202002","YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN","AB7849","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8E2E76E3-FDAF-40CA-96EB-B018D36A6BB0"
"10202003","Yayasan YPK GBKP Cab-Berastagi","AE8550","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=462468E6-B71D-4116-B37D-5BF1FB8F3DA5"
"10202004","Yayasan Methodist Rahmani Indonesia","AE8541","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=ACCD9331-FAFE-41DB-8FA9-022F9AAE7A44"
"10202005","Yayasan Setia Medan","AO2060","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1AC0C6BE-0801-47B0-8F4D-16C67C57FB5A"
"10202006","","-",""
"10202022","YAYASAN PERGURUAN BERSAMA BERASTAGI","AY0395","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=494EF8C8-16A4-4D85-95DA-60B1EA1C04E7"
"10202023","Yayasan YPK GBKP KABANJAHE","AE8502","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E1A852D9-D5AC-4542-B125-168C81048B23"
"10202024","yayasan perguruan immanuel kabanjahe","AE8515","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DEF10274-333B-11E4-BE89-0F6460BE2261"
"10202028","Yayasan Perguruan Pijer Podi","AE8552","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=941D995C-1C28-4E7E-ACEC-1E23076667D0"
"10202651","YAYASAN PENDIDIKAN GKPS","AE9720","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FDA44A69-6D6A-4B37-8408-5704C8E5BEBB"
"10202652","YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN","AB7849","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8E2E76E3-FDAF-40CA-96EB-B018D36A6BB0"
"10202654","YAYASAN DHARMA BAKTI SIMALUNGUN","AI8128","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E51E4FE6-B65B-4A07-8578-BDD3127556CD"
"10202656","Yayasan Perguruan  Bukit Cahaya","AL9859","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C2128F30-24BD-4E9E-A58C-2B19070EE3E6"
"10202658","Yayasan Perguruan BINAGUNA","AI8122","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9C3A2726-B6AE-11E3-9FD7-7B16FE7DF71D"
"10202659","YAYASAN PUTERI HATI KUDUS","AK4073","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9593C9B9-8959-4E60-AFAB-6B227411DE2B"
"10202661","Yayasan AL JAM'IYATUL WASHLIYAH","AK4036","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0662ED56-E324-40AA-9A67-EB76CC29AC94"
"10202662","Yayasan Pendidikan Katolik Santo Yoseph Medan","AB7948","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9A4AB405-CC3A-4D5E-ABE8-0879350E3E61"
"10202669","","",""
"10202670","Yayasan BP. YAYASAN UISU Siantar","AK4067","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1E8CE8F3-18D2-49C1-A31B-A014DF90C32C"
"10202672","","",""
"10202674","","",""
"10202677","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Sumatera Utara","AM0308","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2495172D-A0B9-40D5-A603-AEEAAFF70DA2"
"10202680","Yayasan Pendidikan Karya Simantin","AI8160","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F8BA2308-0C0E-4603-AF7B-69B7FB5FD378"
"10202681","","",""
"10202682","Yayasan Perguruan","AK4105","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F8D0A722-C242-4415-B7D7-74EA67C6D042"
"10202721","","",""
"10202724","Yayasan Perg.Satrya Budi Perdagangan","AH1847","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0E7E294A-2884-4106-9CA3-C8B05B414493"
"10202725","YAYASAN FAUZIAH ADNAN","AN2817","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4224BDED-7A8B-4002-B6B6-71AC672E79D9"
"10202726","","-",""
"10202727","Yayasan Pendidikan Pembaharuan","AK4053","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F3D289DC-EFDD-446A-94EE-FDF7882A39E0"
"10202728","Yayasan SMK Swasta Nusantara Syahkuda","AK4074","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=207EF361-07C4-429C-99C5-FC7E556A784F"
"10202729","Yayasan Pendidikan Nusantara Tanah Jawa","AI8125","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=BE0EA626-680F-4DCB-A3AE-EB502F910904"
"10202733","YAYASAN PENDIDIKAN GKPS","AE9720","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FDA44A69-6D6A-4B37-8408-5704C8E5BEBB"
"10202734","YAYASAN PENDIDIKAN GKPS","AE9720","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FDA44A69-6D6A-4B37-8408-5704C8E5BEBB"
