NYPY,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,NPYP
AH1768,70036578,SPM WUSTHA TAUTHIATUTH THULLAB,SPM Wustha,Kec. Simpang Mamplam,Kab. Bireuen,Prov. Aceh,
AH1768,69972747,SMPS TAUTHIAH ARONGAN,SMP,Kec. Simpang Mamplam,Kab. Bireuen,Prov. Aceh,
AL9633,10262125,SMA SWASTA MAHAD MUHAMMAD SAMAN,SMA,Kec. Sunggal,Kab. Deli Serdang,Prov. Sumatera Utara,
AL9633,69991921,SD SWASTA IT MAHAD MUHAMMAD SAMAN,SD,Kec. Sunggal,Kab. Deli Serdang,Prov. Sumatera Utara,
AL9633,10260485,SMP SWASTA MA HAD MUHAMMAD SAMAN,SMP,Kec. Sunggal,Kab. Deli Serdang,Prov. Sumatera Utara,
AI2891,69814042,TK. AL IRSYAD,TK,Kec. Cilacap Selatan,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20338479,SD AL-IRSYAD 01 CILACAP,SD,Kec. Cilacap Selatan,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,69968125,KB AL - IRSYAD 02,KB,Kec. Cilacap Selatan,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,69856102,KB AL-IRSYAD 01,KB,Kec. Cilacap Tengah,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20300626,SMA AL IRSYAD CILACAP,SMA,Kec. Cilacap Tengah,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20300484,SMP ISLAM AL IRSYAD CILACAP,SMP,Kec. Cilacap Tengah,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20300763,SD PLUS AL-IRSYAD 02,SD,Kec. Cilacap Tengah,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20351220,TK ISLAM AL-IRSYAD,TK,Kec. Cilacap Tengah,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20351284,TK ISLAM AL IRSYAD,TK,Kec. Gandrungmangu,Kab. Cilacap,Prov. Jawa Tengah,
AI2891,20331737,SMP ISLAM AL IRSYAD GANDRUNGMANGU,SMP,Kec. Gandrungmangu,Kab. Cilacap,Prov. Jawa Tengah,
