"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AC4944","Fardillah Moncongloe","Jl. Manjalling, Bonto Bunga, Kec. Moncongloe, Kab. Maros Prov. Sulawesi Selatan","Haeruddin, S. Ag","Mursyidah","90552","29","24 Mar 2011","1"
"AN9039","Ranti Mula Fatra Bogor","Matematika No. 17, Ciparigi, Kec. Kota Bogor Utara, Kota Bogor Prov. Jawa Barat","Hj. Hetty Herawati","","","47","19 Nov 1996","1"
"AO0595","A'isyatul Wahidah","Jl. Ahmad Yani No.03, Turi, Kec. Maduran, Kab. Lamongan Prov. Jawa Timur","Kh. R. Abdullah Ma'sum","Agus Syaiful Abidin","62261","35","28 Apr 2007","1"
"AB7591","YAYASAN GEMA SUKMA WIJAYA","JL. BOWO NO.8 KELURAHAN PASAR LAHEWA, PASAR LAHEWA, Kec. Lahewa, Kab. Nias Utara Prov. Sumatera Utara","Drs. SUKAWATI ZALUKHU, MM","MARTINUS LASE","22853","","","1"
"AC9754","Yayasan Bani Ihsan","Kp Leles, Sindangsari, Kec. Pasar Kemis, Kab. Tangerang Prov. Banten","Drs. H. Musa Hidayat","VINA AZMILLAH HIDAYAT","","26","16 Jul 2008","1"
"AI1591","Islam Tarbiyatul Banin","JL.KI AGENG TEPAK NO 27 B, Dukupuntang, Kec. Dukupuntang, Kab. Cirebon Prov. Jawa Barat","Nasrudin, MH","Muhammad Fazri Razzaaq","45652","12 YITB/X/2006","30 Oct 2006","2"
"AB1483","Darul Jannah Al-Ma'wa","Jl. Raya Deandles, Tunggul, Kec. Paciran, Kab. Lamongan Prov. Jawa Timur","K. Hasan Arif, M.Pd.I","ULUL AZZMI","62264","14","03 Jun 2013","2"
"AF1280","Yayasan Ekatama","Jl. Surabaya No. 56, -, Kec. Bukit Raya, Kota Pekanbaru Prov. Riau","Junaedy Kurnia, S. Sos","KHOIRIAH","28288","20/VI/2009","25 Jun 2009","3"
"AB9984","Yayasan Serambi Makkah","JL. Poros Asiatik Persada, Bakti Mulya, Kec. Sungai Bahar, Kab. Muaro Jambi Prov. Jambi","Maskun Hadi,S. Pd. I","Imam Amanaturrohman","36365","AHU-1825. AH.01.04. Tahun 2011","12 Apr 2011","4"
"AH4220","YAYASAN AL IKHSAN","TANJUNG API-APIKM. 42, Muliasari, Kec. Tanjung Lago, Kab. Banyuasin Prov. Sumatera Selatan","SAMIN","","30761","4","16 May 1999","1"
"AF5376","Yayasan Pendidikan Tujuh belas Kalimantan timur","Jln raya mulawarman L2 Blok D, Manunggal Jaya, Kec. Tenggarong Seberang, Kab. Kutai Kartanegara Prov. Kalimantan Timur","Ipnu handoko, S.Pd","Matsaroni","75262","69","18 Oct 2003","1"
"AL8602","PONPES BUSTANUS SYUBBAN","PAO PALE LAOK, PAOPALE LAOK, Kec. Ketapang, Kab. Sampang Prov. Jawa Timur","KH.HASAN MUSTOFA","NURYANTO","","","11 Sep 2009","1"
"AN2595","Perguruan Darul Iman","Jl. Kelapa Gading - Lawe Sumur No 10, Trt. Megara Baru, Kec. Lawe Sumur, Kab. Aceh Tenggara Prov. Aceh","Drs. Bukhari Husni, MA","Amri","24671","WL/DM/HT/001/09","13 Oct 1951","2"
"AD4267","Yayasan Pendidikan Islam Assalam","Jl. Cimencek No. 4, Cintaasih, Kec. Samarang, Kab. Garut Prov. Jawa Barat","Ust. Sirodjudin Abbas","Muhamad Raihan Zulfikar","44161","2","13 Aug 2002","1"
"AA9135","Yayasan Pendidikan Baruna Adhi Karya Putra","Jalan Raya Slawi Jatibarang KM 4, Gumayun, Kec. Dukuhwaru, Kab. Tegal Prov. Jawa Tengah","Wafiq Subekhi, S.Kom, M.Kom","KARYADI, S.I.Pust","52451","106","30 Apr 2013","2"
"AH8596","galamo maguraci","Jln. lintas galela loloda, Tutumaloleo, Kec. Galela Utara, Kab. halmahera Utara Prov. Maluku Utara","Wasiati Rochmah","Nurfitriana","97761","07/07/2014","23 Mar 2016","2"
"AI1104","YAYASAN SAKINATUL ABROR","Dusun Sukamenak 003/004 Desa Sarimekar Jatinunggal Sumedang 45376, -, Kec. Jatinunggal, Kab. Sumedang Prov. Jawa Barat","Deden Ma'mun MZH","DEDEN MA'MUN MZH","45376","04","14 Dec 2015","2"
"AI0066","YAYASAN PENDIDIKAN BUDDHIS TRI RATNA","JL. TALIB I NO. 35-37, -, Kec. Taman Sari, Kota Jakarta Barat Prov. D.K.I. Jakarta","Gunawan  Efendi","NASRUDIN","11140","66","18 Feb 1993","5"
"AO3781","YAYASAN BRATA UTAMA BHAYANGKARA MAKASSAR","Jl. Letjen Pol. Mappaoudang No.63 Makassar, Jongaya, Kec. Tamalate, Kota Makassar Prov. Sulawesi Selatan","dr. FARID AMANSYAH, Sp. PD, FINASIM","Syamsir Adam","90223","","28 Oct 2014","1"
"AF0712","Karya","Jl. Lintas Samudera Pengalihan, Pengalihan, Kec. Keritang, Kab. Indragiri Hilir Prov. Riau","Astar Hamzah BA","ZULPAIDI","29274",".-8","22 Nov 2002","1"
"AL4514","ISLAMIC CENTRE PANGERAN DIPONEGORO BANYUMAS","JL. RAYA TAMBAKNEGARA RAWALO, TAMBAKNEGARA, Kec. Rawalo, Kab. Banyumas Prov. Jawa Tengah","H.M. ISCHAK SALBANI, BA","tuslim","53173","17","12 Jan 2015","2"
"AL1923","YAYASAN AL WATHONIYAH ASSHODRIYAH 9","Jl.Raya Penggilingan No.99 Cakung Jakarta Timur, Penggilingan, Kec. Cakung, Kota Jakarta Timur Prov. D.K.I. Jakarta","Drs. KH. A. SHODRI HM","Muhammad Albizar","13940","81","17 Jul 1982","5"
"AW7574","Yayasan Pondok Modern Teknik Ibnu Rusyd","Jl. Benda No 310, -, Kec. Mustika Jaya, Kota Bekasi Prov. Jawa Barat","H. Rifqi Hadi, M.Si","Haryanto","17156","33","10 Feb 2016","2"
"AK2762","PP. AL ILYASY","Jl. KH. Moh. Ilyas No. 01, Batorasang, Kec. Tambelangan, Kab. Sampang Prov. Jawa Timur","KH. MAHALLI MAWARDY","Sofiullah","69253","02","04 Jul 2001","3"
"AN8991","YAY.TARBIYATU WAD DAWAH ALKAUTSAR","JL.CEREMAI UJUNG NO 53, BANTARJATI, Kec. Kota Bogor Utara, Kota Bogor Prov. Jawa Barat","LUTFI KURNAIN SA.G","Ahmad Junaedi","16153","01/sek-Not/VI/2005","14 May 2005","3"
"AO1442","Yayasan Sabiluth Thoyyib Pasuruan","Jl. Cemara No 36, Bugullor, Kec. Panggungrejo, Kota Pasuruan Prov. Jawa Timur","KH. A. Sufyan Luthfi","M Haris Chulaifi, S.HI","67122","Nurul Fadilah, SH No.03","04 Feb 2015","2"
"AH7973","YAYASAN ANUGERAH SOE (YANURAS)","Jl. Bougenvile No. 66, -, Kec. Kota Soe, Kab. Timor Tengah Selatan Prov. Nusa Tenggara Timur","David Nomleni","Eveni Revi Nomleni","85511","60","27 Sep 1986","4"
"AJ7960","Sofwatul Qolbi","Jl. Tarumajaya, Pusaka Rakyat, Kec. Taruma Jaya, Kab. Bekasi Prov. Jawa Barat","Syatiri Matrais","HERI IRAWAN","17214","023","10 Jul 2005","5"
"AW9421","YAYASAN PESANTREN TERPADU AL MUNAWAR","Jl. Raya Tamelang RT.01/01, -, Kec. Purwasari, Kab. Karawang Prov. Jawa Barat","AYIP BUNYAMIN, S.Si. MM.","AHMAD JAZULI, S.Sn.","41373","13","23 Nov 2013","4"
"AG5786","Jembatan Pelita Ilmu","Kp. Bojong, -, Kec. Kedung Waringin, Kab. Bekasi Prov. Jawa Barat","Mimin Sumiati","ZULKARNAEN","17540","8","25 Sep 2015","2"
"AL2751","YAYASAN NURUL AMIEN","Kp. Babakansari, -, Kec. Leuwigoong, Kab. Garut Prov. Jawa Barat","H. MAMUN MULYANA","Anwar Buhori","44192","15","08 Mar 2004","4"
"AJ6801","YPI AL-INAYAH","Parakantugu, Parakantugu, Kec. Cijati, Kab. Cianjur Prov. Jawa Barat","Rido Al Amin","Taufik Rahman","43277","60","07 Aug 2001","1"
"AI0951","Yayasan Pendidikan Islam Indonesia Al-Jumhuriah Hasanah","Jl. Pasar Baru No. 75, -, Kec. Majalaya, Kab. Bandung Prov. Jawa Barat","Tedi Setiadi, S.H","Asep Ahmad Wahyudin","40382","44","01 Sep 1984","2"
"AK2648","YAYASAN AL-ANSHARIYAH","Jl. Raya Pakong, Pamoroh, Kec. Kadur, Kab. Pamekasan Prov. Jawa Timur","ABD. KHALIQ, S.Pd.I","ABDUS SALAM","69355","6","14 Sep 2009","1"
"AE6146","TANWIRUL ISLAM","Jl. Kusuma Bangsa, -, Kec. Sampang, Kab. Sampang Prov. Jawa Timur","KH. Jamaah Irsyad, S.Pd.I","Ruqoyyah","69216","14/NOT/YYS/III/2013","14 Mar 2013","5"
"AD1733","Yayasan Pendidikan Pengajaran Dewasa","JL. Swasembada Timur V No. 15, Kebon Bawang, Kec. Tanjung Priok, Kota Jakarta Utara Prov. D.K.I. Jakarta","H. Marlis, B.Sc","Yoga Purnama Putra Perdana","14320","12","16 Jan 1970","3"
"AE1103","TUNAS KARYA PEMALANG","JL. RAYA SIDOREJO COMAL KAB. PEMALANG, Purwoharjo, Kec. Comal, Kab. Pemalang Prov. Jawa Tengah","MOCH.IKHWAN","MOH. AKROMTARYO","52363","0438/103/H.86","23 Dec 1986","1"
"AD3431","Ma'had Izzul Islam","Jl. KH. Saleh No 17, Sukamanah, Kec. Karang Tengah, Kab. Cianjur Prov. Jawa Barat","Hj. Lia Halia Ridwan","DIKA MUHAMAD RIFAI","43281","AHU-7528.AH.01.04 Tahun 2011","15 Nov 2011","1"

"AE8146","KARYA SEDAR","Jl. Delitua- Biru-Biru, Biru-Biru, Kec. Sibiru-biru, Kab. Deli Serdang Prov. Sumatera Utara","bones sembiring","Joni Posta Perangin Angin, S.Pd","20358","C01144002","01 Feb 1991","1"
"AB8881","ALHAMIDYAH AZIZYAH","Jl. Raya Pekanbaru-Bangkinang Km 27 Kulau Nenas, Kualu Nenas, Kec. Tambang, Kab. Kampar Prov. Riau","M. Zakir","RITA HARTINI","28462","","29 Nov 2015","1"
"AA2873","Al-Qudsiyyah","jl. campakawangi, sukalilah, Kec. Sukaresmi, Kab. Garut Prov. Jawa Barat","H. Entang Abdullah Mubarok. S.Pd.I","","","","","1"
"AI9142","Yayasan Insan Cendekia","Jalan Simpang Empat -Talu KM4 Kampung Cubadak, -, Kec. Pasaman, Kab. Pasaman Barat Prov. Sumatera Barat","KUSDI, S.Ag.MM","Yurisman","26366","03","17 Apr 2018","2"
"AM0322","Yayasan Pendidikan Harapan","Jl. Imam Bonjol No. 35 Medan, -, Kec. Medan Maimun, Kota Medan Prov. Sumatera Utara","DR. TAPI RONDANG NI BULAN, SE., M.Si","Desi Prawita","20152","30","30 May 1967","10"
"AD2669","Yayasan Pembangunan","Jl. Raya Cileungsi Jonggol Km. 10 Cipeucang, Cipeucang, Kec. Cileungsi, Kab. Bogor Prov. Jawa Barat","H. TRI RATMOKO","","16820","27","29 Oct 2007","1"
"AD2839","Annajah","Jl. Raya Lapan, Sukamulya, Kec. Rumpin, Kab. Bogor Prov. Jawa Barat","Dra. Hj. Maisaroh Madsuni","ARIS WIJANARKO","16350","15","19 Mar 2015","3"
"AM1932","YAYASAN PENDIDIKAN SEKOLAH PENDOPO","Jl. Cemara No.18 Komperta Pendopo Kab Pali, -, KEC. TALANG UBI, Kab. Penukal Abab Lematang Ilir Prov. Sumatera Selatan","Semar, S.Pdi","Muhammad Sobirin","31211","01","19 Dec 2023","4"
"AG2754","YAYASAN PENDIDIKAN GPIB CABANG IMMANUEL BATAM","Jln. Raden patah - Lubuk Baja, LUBUK BAJA, Kec. Lubuk Baja, Kota Batam Prov. Kepulauan Riau","Daniel Musskita","SAKIUS S. LAMBANAN","29444","","15 Sep 2014","2"
"AC4974","Yayasan Pendidikan Fachmi Primanegara Maros",", Pettuadae, Kec. Turikale, Kab. Maros Prov. Sulawesi Selatan","Abdul KadiR","Arafat","","188.4/pd4.121.a/2008","25 Apr 2008","1"
"AE1466","Yayasan Lembaga Pendidikan Kristen","Jl. Kemiri Raya 9, Salatiga, Kec. Sidorejo, Kota Salatiga Prov. Jawa Tengah","Dani Zacharias,SH, MA","Pambayun Bagaskoro, S.Pd.","50711","07","11 Apr 1977","1"
"AN7357","AN-NUQTHAH","JL. HR RASUNA SAID, -, Kec. Pinang, Kota Tangerang Prov. Banten","KH. ABDUL JUHRI FAUZI, S. Ag.","Syarifuddin, S.Kom.I","15142","C-149.HT.03.02","12 Mar 2002","3"
"AX1640","Yayasan Hang Tuah Pusat","Jl. Tabah Raya No. 2A, -, Kec. Kelapa Gading, Kota Jakarta Utara Prov. D.K.I. Jakarta","Dr. Dani Achdani, S.Sos.,S.E.,M.AP","MUHAMMAD IRSYAD DUL IBAD","14240","25","14 Jan 1985","42"
"AL7092","Yayasan Thoriqul Huda","Dusun Losari Desa Sokosari, Sokosari, Kec. Soko, Kab. Tuban Prov. Jawa Timur","K. Ghufron, SE","KHOIRUR ROSYIDIN","62372","04","14 Apr 2006","1"
"AO3821","Yayasan Perguruan Murni Bawakaraeng","Jl. Pandang No. 19 B, -, Kec. Panakukkang, Kota Makassar Prov. Sulawesi Selatan","Nur Fitrah Yadi B.,ST","Nur Asriyanti Burhanuddin","90231","-1.-","28 Mar 2022","1"
"AL7845","SMK TRISAKTI BANGIL","Jl. Nanas No. 20, Dermo, Kec. Bangil, Kab. Pasuruan Prov. Jawa Timur","MOCH. SUPANDRI, S.Pd.MT.","MOCHAMAD MASKHUR","67153","02.512.781.2-624.000","16 Oct 2006","1"
"AX1288","YAYASAN BHAHANA BHAKTI SERANG","JL. LETNAN JIDUN NO. 25, -, Kec. Serang, Kota Serang Prov. Banten","JANJUSI, M.Pd","Mohammad Ilham Muttaqin","42115","41","31 Aug 2021","1"
"AH7441","Danendra Upadana","By Pass Kediri No 99 X, -, Kec. Kediri, Kab. Tabanan Prov. Bali","Ni Komang Ayu Linawati, SE","Ni Made Sari Indah Dewi","80361","C-89H.I 03.01 tahun 1996","21 Apr 2011","1"
"AJ6939","Harapan Putra Bahari","Perum Rancamanyar Regency Jln Anggrek Raya No 1, -, Kec. Baleendah, Kab. Bandung Prov. Jawa Barat","Mohamad Yusuf","Agus Riyanto","40375","C2547HT.01.02.TH.2006","20 Jun 2006","1"
"AH8868","MASYARIQUL ANWAR","Jl. Daar El-Qolam No. 25 Kp. Gintung, Pasir Gintung, Kec. Jayanti, Kab. Tangerang Prov. Banten","Drs. Uyu Wahyudin","HIDAYATULLAH AHYANI","15610","594","21 Nov 1988","1"
"AF5419","Durratul Hikmatul Waadhiah","Jln. Perintis, Badak Baru, Kec. Muara Badak, Kab. Kutai Kartanegara Prov. Kalimantan Timur","Nurwadiah, SP","Nita Selviana","75382","50","15 Dec 2007","3"
"AC5900","YAYASAN DARUL MA'ARIF","JL. UJUNG LR. 151 NO. 5, PARANG LAYANG, Kec. Bontoala, Kota Makassar Prov. Sulawesi Selatan","H. DULLAH SADELE","SITTI ANNISA NUR MA'RUFI","90155","","26 Nov 2014","1"
"AW8353","YAYASAN PEMBANGUNAN SWADAYA PADANGSIDIMPUAN","JL. DR. KH. ZUBEIR AHMAD 1 NO.19, -, Kec. Padang Sidimpuan Utara, Kota Padang Sidimpuan Prov. Sumatera Utara","ZULPIKAR SUGIATNO","ZULPIKAR SUGIATNO","22715","08","11 Jan 2016","1"
"AL1740","YAYASAN RAUDHATUL MUTA'ALLIMIN","Jl. H. Saikin No. 41 RT. 014 RW. 08 Pondok Pinang Kebayoran Lama, Pondok Pinang, Kec. Kebayoran Lama, Kota Jakarta Selatan Prov. D.K.I. Jakarta","H. Anis Mirsyad Haz, S.E","Muhamad Yusup","","No. 53","24 Aug 2015","1"
"AO0906","Darul Khoirot Sunan Bonang","Jl utara Pabrik Rattan, Gerongan, Kec. Kraton, Kab. Pasuruan Prov. Jawa Timur","H. Ahmad Yasin","LAILATUL AROFAH","67151","No. 30/2011","12 Jan 2011","5"
"AM9932","Yayasan  Islam Sudirman Kedungjati","Jl. Perintis Kemerdekaan No. 97 Kompleks Masjid Jami' Darussalam Kedungjati, Kedungjati, Kec. Kedungjati, Kab. Grobogan Prov. Jawa Tengah","H.Zaenal Mucharom","","58167","895/I03/I?1988","08 Jun 1988","1"
"AG5288","YAYASAN AULIYA MURSYIDY","JL. BABAKAN RANDU, -, Kec. Lemahsugih, Kab. Majalengka Prov. Jawa Barat","Dr. MURSIDIN, M.Pd.","Aim Ali Iman","45465","-01- Tanggal 01 Februari 2014","01 Feb 2014","1"
"AX1056","Persatuan Perguruan Tamansiswa Cabang Matraman","Matraman Dalam II, -, Kec. Menteng, Kota Jakarta Pusat Prov. D.K.I. Jakarta","Siti Herawati.BA","Rusmono","10320","Org.058/SK/N-R/1984","01 Aug 1948","4"
"AD7895","Yayasan Pedidikan dan Sosial Islam Padayungan (YAPSIPA)","Jl. Perintis Kemerdekaan No. 18, Kel. Tugujaya, Kec. Cihideung, Kota Tasikmalaya Prov. Jawa Barat","YUNIAR IRAWAN, SH","Muhammad Syihabudin Riyadi","","No. 06/1980/AN-AM","31 Dec 1980","1"
"AD3156","Al Junaediyah","sukamanah, sukamanah, Kec. Cisaat, Kab. Sukabumi Prov. Jawa Barat","Hj. Mila Nurmilawati","Rully Teguh Sindhukusumah","43152","AHU-0253.AH.02.01TAHUN2010","12 Feb 2015","1"
"AB7746","APIPSU","JL. RASMI NO. 28, Sei Sikambing, Kec. Medan Helvetia, Kota Medan Prov. Sumatera Utara","CUT SARTINI","Pratika Br. Perangin-angin, A.Md","20123","27","26 Jun 1989","4"
"AF9103","YAYASAN NURUL ISLAM SUMBAWA","jalan pramuka, -, Kec. Sumbawa, Kab. Sumbawa Prov. Nusa Tenggara Barat","Ibrahim S","M SALWAN NUR","84314","18","15 Oct 2020","2"
"AI7079","YAYASAN DARUT TAUHID GEGER","Katol Barat, -, Kec. Geger, Kab. Bangkalan Prov. Jawa Timur","DWI RIDA LISDIANA","Rodiatul Adawiyah","69152","87","25 Feb 2019","4"
"AX8646","YAYASAN PONDOK PESANTREN MIFTAHUL ULUM JOGOLOYO DEMAK","JL. P. DIPONEGORO NO 17, -, Kec. Wonosalam, Kab. Demak Prov. Jawa Tengah","MUSTAFIDAH","ALI MARWAN","59571","18","04 Feb 2020","4"
"AA8316","YAYASAN ISLAM NURUL HADI","BATU KARANGTENGAH DEMAK, BATU, Kec. Karang Tengah, Kab. Demak Prov. Jawa Tengah","Drs. Moh Rifa;i","Sunardi","59561","","03 Oct 2006","2"
"AJ3992","YAYASAN PERSEKOLAHAN SUKMA PUSAT","Jln. Diponegoro No. 8 Tromol POS 801, Ruteng 86511 Flores-NTT, -, Kec. Langke Rembong, Kab. Manggarai Prov. Nusa Tenggara Timur","RD. Dharsam Guru Patrik Josaphat, Drs., MA","IGNASIUS MANS SUPARDI GAGE","86511","113/YPSP/2008/PN.RUT.","28 Oct 1970","95"
"AN0696","Yayasan Pembangunan Islam Yogyakarta","Jalan Wates Km.3, -, Kec. Gamping, Kab. Sleman Prov. D.I. Yogyakarta","Drs. Moehadi Sofyan","MUHAMMAD KHOIRUL WAHDIN","55294","25","29 Nov 1962","2"
"AG4030","YPI Hidayatul Falah","Jl Moh Noh Nur KM 11, -, Kec. Leuwiliang, Kab. Bogor Prov. Jawa Barat","YUSUF SOPYAN, SE","FADLAN HAMIDY","16640","03","25 Jun 2007","1"
"AL2041","YPI AL MUNAZHOMAH","Jl. Mayjen HR. Edi Sukma Km. 14, CIHERANG PONDOK, Kec. Caringin, Kab. Bogor Prov. Jawa Barat","H. ACEP BURHAN ZA.","Putri Agustina","16730","C-43.HT.03.01-Th.2000","19 Jan 2000","1"
"AN9327","ADI PRAMESTI","JL. RAYA PURWOKERTO GUMILIR, NOTOG, Kec. Patikraja, Kab. Banyumas Prov. Jawa Tengah","ISTA ARISTAWATI, S.Hut","Juniati, DRA","53171","AHU-0045485","01 Nov 2016","1"
"AI6543","YPI BUSTANUL ULUM PAKUSARI","Jl. Himalaya 17 Pakusari Jember, PAKUSARI, Kec. Pakusari, Kab. Jember Prov. Jawa Timur","MOCH. HAFIDI CHOLIS","HENDRIK ZAINUL HASAN","","17","14 Jun 1986","1"
"AI6828","IFTAH LANA","DS BANJAR, DS BANJAR, Kec. Kedungdung, Kab. Sampang Prov. Jawa Timur","UST JAUHARI","HASAN BASRI","","101","01 Jan 2012","2"
"AO4821","GEMILANG","Kp. Ciroke Ds. Tambak , TAMBAK, Kec. Kibin, Kab. Serang Prov. Banten","TENDIAN","JAENAL ARIFIN","42185","AHU-3920.01.02.TH.2008","08 May 2014","1"
"AC3898","Tunas Kelapa Kalimantan Timur","Jl. Moch. Yamin No. 06, Gunung Kelua, Kec. Samarinda Ulu, Kota Samarinda Prov. Kalimantan Timur","Drs. H.M. Hatta Zainal. M.Si","AIDIL FADLI","75123","1206/I26.2a/Le/1991","15 Jun 1991","1"
"AI0905","Yayayan Badan Usaha Pendidikan Islam","Jl. Talun Nomor 09, Majakerta, Kec. Majalaya, Kab. Bandung Prov. Jawa Barat","H. Mateta Rijalulhaq S.H","TIA MUTIARA SANI","40382","392","18 Mar 1985","1"
"AN6040","Yayasan Ardhya Garini Cabang Lanud Pattimura","PANGKALAN TNI AU PATTIMURA AMBON, -, Kec. Teluk Ambon , Kota Ambon Prov. Maluku","NY. LIDYA EVALINAWATI SITANGGANG","ALEXANDER HANDOKO KAKIAY","97236","AHU-AH.01.06-0019421","25 Feb 2022","4"
"AF8451","Widya Sastra Mandala","Abuan Kauh, Abuan, Kec. Susut, Kab. Bangli Prov. Bali","I Dewa Gede Suamba Adnyana","I Kadek Arianto","88061","11","11 Feb 2013","1"
"AX6916","Yayasan Nurussyamsi Tajur halang","Jl. Raya Tonjong  No. 18, -, Kec. Tajurhalang, Kab. Bogor Prov. Jawa Barat","Ahmad Subekti, SE","ARIFIN BILLAH.","16320","33","12 Feb 2022","3"
"AE9376","PENDIDIKAN BINA BERSAUDARA","Jl.B.Katamso Titi Kuning 43 Medan, Titi Kuning, Kec. Medan Johor, Kota Medan Prov. Sumatera Utara","MOHD.ACHIR LUBIS","ZAINUL ARIF LUBIS","20146","","","2"
"AE6360","YAYASAN PP. ANWARUL HIDAYAH","Jl. Bindara Hosnol Gambu-Gambu, Timur Jang-Jang, Kec. Kangayan, Kab. Sumenep Prov. Jawa Timur","Umar Hosnol, S.Pd.I","Mohammad Hosni","69491","","16 Nov 2014","1"
"AI8745","YAYASAN PERGURUAN TRI MURNI","JL. KL YOS SUDARSO KM.6,5 GG.FAMILI, -, Kec. Medan Deli, Kota Medan Prov. Sumatera Utara","FERIANA","Theresia Deviani Purba","20241","02","03 Jan 2023","3"
"AI6941","AL-FATHORIYAH","Jl. PONPES NURUS SHOBAH, TAMBAK SARI, Kec. Rubaru, Kab. Sumenep Prov. Jawa Timur","MATTALI","","69456","15","06 Mar 2013","1"
"AH3964","LPM Rantau Makmur",", Rantau Makmur, Kec. Berbak, Kab. Tanjung Jabung Timur Prov. Jambi","Rojikin","Agus Supriyono","36572","02","01 Jul 1987","1"
"AJ5095","Yayasan Pendidikan Fadilatul Ilmi","Jl. Baros - Pancalaksana Km.2, Pancalaksana, Kec. Curug, Kota Serang Prov. Banten","Hj. Nyi Juhro","ASDI HIDAYAT","42171","Ahu-1729.AH.01.04.Tahun 2010","05 May 2010","1"
"AL1460","Yayasan Darud Da'wah Wal-Irsyad","Jalan Gatot Subroto, Madatte, Kec. Polewali, Kab. Polewali Mandar Prov. Sulawesi Barat","Dr. H . Anwar Sewang, M.Ag.","Suci Rahmadana Gazali","91315","410/1008.3/015","21 May 2008","1"
"AF8985","YPIT DHIAUL FIKRI","TARBIYATUL FIKRI ELLAH LANGGEM, SUKARARA, Kec. Sakra Barat, Kab. Lombok Timur Prov. Nusa Tenggara Barat","TGH. GUNAWAN RUSLAN, LC","Khalqir Rahman","83671","","31 Mar 2016","1"
"AG0951","YAYASAN GOTONG ROYONG TOBELO","JLN. SMEA NO.34, GURA, Kec. Tobelo, Kab. halmahera Utara Prov. Maluku Utara","ZADRAK TONGO-TONGO","","97762","02/YPGR/XI1972","17 Sep 1972","1"
"AA2418","Bina Andi Mulya Kusumah","Jl. Serma Abdul Manan No.15, Pasanggrahan Baru, Kec. Sumedang Selatan, Kab. Sumedang Prov. Jawa Barat","H. Engkos","Agus Mulyadi","45311","08.-","","1"
"AA9080","YAYASAN PENDIDIKAN ISLAM DAN SOSIAL PERINTIS","JALAN KALIJATI, Desa Sokawangi, Kec. Taman, Kab. Pemalang Prov. Jawa Tengah","AGUS TAMI","Bowo Prasetyo","52361","Akta Nomor 61","23 Jul 2013","1"
"AC4579","Yayasan Banggai Persada","Jln. Trans Peling, Kampung Baru, Kec. Tinangkung Selatan, Kab. Banggai Kepulauan Prov. Sulawesi Tengah","Baharudin Saidia, S. Pd","YUSRAN SALENG","94785","AHU-01912.50.10.2014","28 May 2014","1"
"AK0389","YAYASAN MASYARAKAT MADANI","Jl. Monginsidi, banjarsari, Kec. Jebres, Kota Surakarta Prov. Jawa Tengah","Drs. H. Mastur AW","","57772","-","27 Feb 2015","1"
"AM7444","PERGURUAN SAIDUNIL MU'MININ",", Kelurahan Gedong, Kec. Pasar Rebo, Kota Jakarta Timur Prov. D.K.I. Jakarta","Haji ZULKARNAEN SAID BAIMIN","ACHMAD FADHILLAH ZULFIKAR","","11","13 Dec 2010","1"
"AI3885","Lemuria Nusantara","Jl. Wijaya Kusuma, Karangbener, Karangbener, Kec. Bae, Kab. Kudus Prov. Jawa Tengah","Ngasno","Erliana Nofianti","59323","10","22 Jun 2015","1"
"AK2436","YAYASAN PENDIDIKAN ISLAM PONPES. DARUL MUTA'ALLIMIN","Jl. Sumber Canting No. 01, -, Kec. Sumberjambe, Kab. Jember Prov. Jawa Timur","H. Syamsul Arifin","ahmad nurus sidqi","68195","1","01 Oct 2013","2"
"AD3058","YAYASAN KARYA INSAN CITA","Kp. Kedung, hegarmanah, Kec. Warung Kiara, Kab. Sukabumi Prov. Jawa Barat","DASEP YUSUP ANWAR, S.Pd.I","Muhammad Gonia","43362","33","12 May 2016","1"
"AL0626","Yayasan Nurul Islam","Jl. Bidar II No. 1, Kelapa Dua, Kec. Kelapa Dua, Kab. Tangerang Prov. Banten","D.R. ABDURRAHIM AL-BASYIR","MUHAMMAD SYARIFUDDIN","15810","28","10 Oct 1991","4"
"AA6741","Assalam Tempuran","Nglarangan Sidoagung Tempuran, Sidoagung, Kec. Tempuran, Kab. Magelang Prov. Jawa Tengah","Hendro Wahyono","Drs Supriyanta","56161","AHU-7678.AH.014 Tahun 2012","14 Jul 2012","1"
"AD5197","Bina Warga Lemahabang","Jl. Pramuka Ujung, Cipeujeuh Wetan, Kec. Lemah Abang, Kab. Cirebon Prov. Jawa Barat","Drs. H. Abdullah Abbas","Sukma Prahara","45183","28","12 Oct 2012","1"
"AI0464","YAYASAN AL HIDAYAH","J;. Kelurahaan Cibojem, Cibatok 1, Kec. Cibungbulang, Kab. Bogor Prov. Jawa Barat","KH. Asep Saepudin","Reza permana","16630","23","08 Jul 1998","1"
"AN2673","Bhakti Karya Beringin","Jl.Lingkar Waduk, Keude Aceh, Kec. Banda Sakti, Kota Lhokseumawe Prov. Aceh","H.Marzuki,SH.MM","","24351","8","09 Mar 2005","1"
"AL6912","Segoro Agung","Jl. Syeh Jumadil Kubro, Sentonorejo, Kec. Trowulan, Kab. Mojokerto Prov. Jawa Timur","Umar Anshori","ANITA VENDA PURWANTI","61362","7","26 Jan 2015","1"
