"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AH0590","Yayasan Lembaga Pendidikan Islam Diponegoro (YLPID)","Jl. Keputren Suci Panti, SUCI, Kec. Panti, Kab. Jember Prov. Jawa Timur","RUSDIYANTO,SH","Wahyuni Dwi Indrayani","68153","BH.NO.01/I/X/1992","04 Sep 1992","2"
"AA0115","Yayasan Buddha Tzu Chi Wiyata Indonesia","Kompleks Tzu Chi Center, Jl. Pantai Indah Kapuk Boulevard Jakarta Utara, -, Kec. Penjaringan, Kota Jakarta Utara Prov. D.K.I. Jakarta","Franky Oesman Widjaya","MEGA PURNAMA WIEJAYA","14470","250","30 May 2003","5"
"AG2737","Bumi Cemerlang","KOMPLEK GREEN GARDEN BLOK C NO.16, -, Kec. Batu Ampar, Kota Batam Prov. Kepulauan Riau","Parto","Dwi Asala Puja","29444","025","05 May 2010","5"
"AN2156","Yayasan Ulul Albab Al Hasany","Jl. KH. Moh. Hasany, -, Kec. Modung, Kab. Bangkalan Prov. Jawa Timur","KH. Imam Syafi'ie MR,S.Ag,. M.Pd","MOH. SIRAJ, S.Pd.I","69166","WW.06.03/PP.032/3446/1998","05 Oct 1998","4"
"AG4043","YAYASAN AL FATHONIYAH","JL. RAYA HEGARASA NO. 01, -, Kec. Leuwiliang, Kab. Bogor Prov. Jawa Barat","MUCHTAR FATHONI","AOS SULAH","16640","01","01 Mar 1999","2"
"AY0527","YAYASAN PENDIDIKAN TERUSAN BANGSA BANDAR MATARAM","Upt. Way Terusan SP 2, -, Kec. Bandar Mataram, Kab. Lampung Tengah Prov. Lampung","NGADIMAN","EDI SISWANTO","34169","1.","04 Aug 2011","1"
"AH7032","YAYASAN TUNAS BANGSA","JL TIDUNG MARIOLO 1 NO. 8A, TIDUNG, Kec. Rappocini, Kota Makassar Prov. Sulawesi Selatan","DRA. MUNKIRAMAN","Eka Rezki Oktaviani","90222","02/A/III/2016","09 Jul 2013","2"
"AN9647","YAPPIS","Jl Raya Kapung-Tanggung Km 5, Sugihmanik, Kec. Tanggungharjo, Kab. Grobogan Prov. Jawa Tengah","SUKAMTO","MUHAMMAD SADAM HUSEN","58167","AHU-1620.AH.01.02 .2008","11 Sep 2008","1"
"AL9418","Darul Aitami","Meulaboh - Tapak Tuan Km, Ujong Tanjong, Kec. Meureubo, Kab. Aceh Barat Prov. Aceh","Bupati Aceh Barat","Andri Harmaya, S.Kom.I","","231/45/2012","09 Jan 2012","1"
"AK7610","Yayasan Pendidikan dan Pengembangan Insani Ar-Rasyid","Jl. Raya Batulicin Km 251, -, Kec. Batu Licin, Kab. Tanah Bumbu Prov. Kalimantan Selatan","H.M Adenuddin Alwy, SE. MM.","amaryllis suripto","72171","No. 14","08 Feb 2013","4"
"AO0465","YAYASAN PONDOK PESANTREN BAHRUL ULUM TAMBAKBERAS JOMBANG","JL. KH. ABDUL WAHAB CHASBULLAH 123, -, Kec. Jombang, Kab. Jombang Prov. Jawa Timur","KH. M. WAFIYUL AHDI, SH., M.MPd.I","Widi Asy'ari","61451","02/Not-M/V/2010","09 May 2010","3"
"AA4422","YAPINK","Jl. Sultan Hasanuddin No.226, Tambun, Kec. Tambun Selatan, Kab. Bekasi Prov. Jawa Barat","H. Ahmad Kholid Dawam, Lc, M.Hum.","Saifulloh, S.S, M.Si","17511","05","04 Jun 1969","2"
"AA3850","FATAHILLAH LOHBENER","JL. RAYA SELATAN NO.3 , LOHBENER, Kec. Lohbener, Kab. Indramayu Prov. Jawa Barat","Drs. H. Zaenal Arifin, MA","","25252","","02 Mar 2015","1"
"AY3994","YAYASAN PENDIDIKAN LEMBAGA PEMBERDAYAAN MASYARAKAT LAMBUR","JALAN INPRES, NOMOR 03, -, Kec. Muara Sabak Timur, Kab. Tanjung Jabung Timur Prov. Jambi","ADNAN, S.Pd.I","Hasrudi","36561","12","20 Sep 2023","1"
