"npsn","tanggal_pendirian","tanggal_operasional"
"10260520","13-04-2009","13-04-2009"
"10260679","30-03-2010","30-03-2010"
"10260680","01-01-1900","-"
"10260764","06-02-2009","10-05-2023"
"10260770","20-09-2010","28-11-2016"
"10260915","20-02-1982","19-09-2022"
"10260916","01-01-1900","05-05-2023"
"10260917","23-12-2013","23-12-2013"
"10260918","01-01-1900","-"
"10260958","01-01-1900","30-12-2013"
"10261027","",""
"10261051","01-01-1900","01-01-1900"
"10261181","01-01-1900","-"
"10261212","01-07-2009","01-07-2009"
"10261247","10-11-2014","07-11-2014"
"10261281","01-06-2010","01-06-2010"
"10261282","01-01-1900","01-01-1900"
"10261297","06-05-2010","21-03-2009"
"10261298","-","-"
"10261305","06-01-2010","31-10-2019"
"10261406","27-04-2016","27-04-2016"
"10262109","22-04-1992","01-07-2013"
"10262150","01-01-1900","-"
"10262331","18-10-2011","28-10-2016"
"10262430","27-07-2011","27-07-2011"
"10263512","07-05-2012","07-05-2012"
"10263516","",""
"10263531","01-01-1900","14-12-2017"
"10263538","-","24-10-2011"
"10264690","03-10-2012","03-10-2012"
"10300287","23-08-1993","23-08-1993"
"10300290","01-04-1990","01-04-1990"
"10300296","01-07-2002","23-02-2016"
"10300297","01-01-1900","01-01-1992"
"10300301","01-01-1900","-"
"10300302","01-01-1900","15-02-2023"
"10300827","05-08-2004","05-08-2004"
"10300828","09-10-1982","26-12-2022"
"10300833","01-10-1997","15-05-2008"
"10300834","-","-"
"10300835","",""
"10301185","16-05-1997","16-05-1997"
"10301187","14-07-1981","14-07-1981"
"10301577","05-05-1992","23-11-2020"
"10301790","01-01-1979","01-01-1979"
"10301791","17-06-1996","21-08-2021"
"10302014","01-10-1955","04-01-2024"
"10302015","23-08-1993","23-08-1993"
"10302016","02-09-1978","05-09-2022"
"10302017","01-07-1996","20-01-2017"
"10302020","06-04-2020","15-07-1991"
"10302021","29-11-1984","20-01-2017"
"10302022","01-07-1985","22-11-1985"
"10302034","02-01-2004","02-01-2004"
"10302397","-","-"
"10302400","19-12-1998","23-08-2018"
"10302436","22-07-2019","24-07-2019"
"10302474","24-01-1978","26-08-2021"
"10302475","20-11-1984","26-08-2019"
"10302476","01-08-1954","20-01-2017"
"10302492","07-10-1981","07-10-1981"
"10302804","01-01-1900","01-01-1900"
"10302805","-","-"
"10302806","23-08-1993","02-06-2008"
"10302981","23-04-1996","31-08-2022"
"10303087","01-06-1991","15-07-1991"
"10303088","01-01-1900","-"
"10303089","01-01-1900","-"
"10303091","10-08-2004","10-08-2004"
"10303106","01-04-2001","01-04-2001"
"10303216","01-05-2002","10-10-2023"
"10303217","01-07-1997","01-07-1997"
"10303364","20-04-2005","20-04-2005"
"10303366","30-05-1991","30-05-1991"
"10303367","14-09-1978","14-09-1978"
"10303377","03-06-2002","23-08-2018"
"10303443","01-07-1995","01-07-1995"
"10303445","01-05-1982","21-11-2012"
"10303448","20-08-1980","07-12-2021"
"10303461","01-01-1901","01-01-1901"
"10303467","01-08-1954","12-11-2012"
