"npsn","tanggal_pendirian","tanggal_operasional"
"10260461","28-03-2008","22-04-2008"
"10260463","26-09-2008","30-04-2008"
"10260464","01-01-1900","01-01-1900"
"10260465","04-06-2007","12-08-2016"
"10260527","24-06-2009","24-06-2009"
"10260529","-","-"
"10260533","01-01-1900","01-01-1900"
"10260536","01-01-1900","20-05-2009"
"10260606","24-08-2009","19-11-2019"
"10260662","10-07-2009","10-07-2009"
"10260664","-","21-08-2013"
"10260668","20-07-2009","23-09-2019"
"10260669","01-04-2009","01-04-2009"
"10260681","28-04-2009","29-05-2009"
"10260682","10-07-2009","01-01-1900"
"10260684","01-01-1900","-"
"10260731","03-06-2008","03-06-2008"
"10260779","-","-"
"10260795","01-01-1900","12-01-2015"
"10260806","01-01-1900","20-10-2015"
"10261025","28-12-2017","06-04-2015"
"10261043","01-01-1901","28-11-2012"
"10261072","-","-"
"10261165","09-09-1987","29-02-2016"
"10261174","01-07-2008","02-05-2017"
"10261182","",""
"10261186","02-02-1993","-"
"10261192","22-03-2010","22-03-2010"
"10261225","-","-"
"10261243","09-09-2009","11-09-2009"
"10261248","-","-"
"10261285","08-04-2021","30-04-2010"
"10261287","08-03-2010","08-03-2010"
"10261290","15-04-2010","15-04-2010"
"10261291","05-02-2010","05-02-2010"
"10261292","01-01-1900","-"
"10261293","01-01-2010","06-07-2010"
"10261347","20-01-2015","18-02-2020"
"10261398","15-10-2010","15-10-2010"
"10261407","10-06-2010","22-08-2023"
"10261412","31-08-2015","21-12-2015"
"10261521","08-08-2008","22-06-2016"
"10261572","01-01-1900","-"
"10261573","-","-"
"10261592","20-03-2017","15-06-2022"
"10261625","30-04-2010","31-05-2016"
"10261656","",""
"10261663","11-08-2010","10-11-2016"
"10261695","01-01-1900","23-03-2016"
"10261712","06-01-2009","09-08-2016"
"10261764","-","-"
"10261862","01-07-2010","09-11-2012"
"10261880","01-01-1900","09-07-2010"
"10261881","01-01-1900","09-03-2011"
"10261885","11-07-2019","25-02-2022"
"10262131","11-08-2011","22-09-2016"
"10262172","15-05-2017","15-05-2017"
"10262189","16-10-2014","16-10-2014"
"10262282","01-01-1900","01-08-2012"
"10262313","17-07-2006","09-09-2014"
"10262315","01-01-1900","26-11-2012"
"10262387","05-11-2011","28-04-2017"
"10262390","30-06-2011","14-03-2001"
"10262392","11-02-2011","07-02-2011"
"10262417","27-06-2011","27-06-2011"
"10262419","01-01-1900","01-01-1900"
"10263517","05-05-2010","03-11-2016"
"10264656","-","-"
"10264659","07-05-2013","07-05-2013"
"10264689","01-01-1901","10-12-2012"
"10264691","03-01-2011","03-01-2011"
"10264692","-","-"
"10264872","25-07-2012","27-10-2016"
"10300273","01-01-1900","-"
"10300276","",""
"10300824","17-12-1999","30-08-2021"
"10300825","21-11-1970","28-09-2021"
"10301518","03-06-2002","03-06-2002"
"10301941","15-06-2020","04-04-2022"
"10301943","10-03-1984","10-03-1984"
"10302395","07-03-1997","11-04-1997"
"10302396","30-10-1999","30-10-1999"
"10302406","20-10-1998","20-10-1999"
"10302785","08-02-1988","03-01-2011"
"10303214","-","-"
"10303606","30-12-2004","30-12-2004"
"10303607","15-07-1991","03-01-2023"
"10303683","24-02-1998","16-06-1999"
"10303684","28-08-1968","28-08-1968"
"10303767","22-03-2012","22-03-2012"
"10303768","01-01-1900","01-01-1900"
"10303901","28-02-1983","28-10-2016"
"10303908","-","-"
"10303909","01-01-1900","01-01-1900"
"10303911","16-09-2014","15-12-2020"
"10303912","01-08-1955","31-08-2023"
"10304183","01-01-1901","14-05-1999"
"10304185","01-01-1901","01-01-1900"
"10304186","10-10-1997","30-08-2021"
"10304195","05-07-2004","27-12-2021"
"10304430","07-08-2008","07-08-2008"
"10304432","-","-"
"10304433","29-09-2005","29-09-2005"
"10304836","11-07-1998","11-07-1998"
"10304840","21-03-1989","15-03-1990"
"10304842","16-04-1996","08-11-2021"
"10304843","16-04-1999","11-10-2021"
"10304848","03-07-1952","04-07-2016"
"10304849","02-01-1969","26-12-2022"
"10304850","25-09-1965","24-09-2021"
"10304851","-","-"
"10304855","15-08-1991","27-08-2021"
"10304856","01-01-1900","01-10-2021"
"10304857","",""
"10304860","10-01-2011","27-12-2021"
"10304862","10-10-1997","30-08-2021"
"10304876","03-08-2006","22-03-2016"
"10304895","01-01-1900","08-03-2021"
"10304896","21-09-2001","21-09-2001"
"10305577","10-12-2013","30-09-2001"
"10305578","28-04-2018","01-10-2021"
"10305579","-","-"
"10305582","30-11-2021","30-11-2021"
"10305597","01-01-1900","01-01-1900"
"10305639","24-05-2004","03-01-2011"
"10306094","03-07-2008","03-01-2007"
"10306097","22-06-2002","22-06-2002"
"10306966","22-11-1985","22-11-1985"
"10307421","25-11-1984","26-05-2014"
"10307436","22-07-2020","12-01-2022"
"10307539","08-02-1986","05-04-2016"
"10307616","12-08-2011","12-08-2011"
"10307617","30-08-2007","07-05-2021"
"10307802","01-02-1967","15-02-2021"
"10307988","11-12-2003","30-08-2021"
"10308142","22-07-2006","14-07-2008"
"10308148","12-08-2011","12-08-2011"
"10308547","29-10-2008","29-10-2008"
"10309786","01-01-1900","15-07-2007"
"10310498","28-04-2010","12-07-2010"
"10310780","15-06-2011","02-12-2020"
"10401500","01-04-1978","12-08-2015"
"10401566","23-06-2004","20-08-2004"
"10402075","01-01-1900","01-01-1900"
"10402104","17-11-2000","17-11-2000"
"10402106","30-11-1967","30-11-1967"
"10402749","14-08-2000","26-02-2015"
"10403677","01-01-1900","-"
"10403680","-","-"
"10403917","12-07-1997","12-07-1997"
"10403918","27-05-2003","21-07-2007"
"10403919","15-07-2020","13-09-2016"
"10403924","12-11-1992","12-11-1992"
"10403925","10-06-1998","09-06-2022"
"10403926","01-07-1967","01-07-1967"
"10403928","07-07-1998","07-07-1998"
"10403930","13-11-1997","08-04-2022"
"10403932","11-09-2000","11-09-2000"
"10403934","18-02-1995","23-03-2013"
"10403938","03-01-1994","03-01-1994"
"10403984","26-10-1995","26-10-1995"
"10404457","27-09-1996","16-12-2021"
"10404646","04-09-2006","30-04-2015"
"10404665","07-04-2009","15-01-2015"
"10404975","26-09-2018","07-05-2008"
"10404991","25-08-1999","25-08-1999"
"10404993","30-07-1980","30-07-1980"
"10404994","27-02-2008","22-09-2005"
"10405575","29-02-1992","29-02-1992"
"10405577","20-12-2006","15-05-2008"
"10493907","-","-"
"10494114","05-07-2000","09-01-2014"
"10494115","02-02-2007","02-02-2007"
"10494312","10-12-2007","10-12-2007"
"10494313","10-12-2007","10-12-2007"
"10494314","10-12-2007","10-12-2007"
"10494315","10-12-2007","10-12-2007"
"10494319","17-07-2002","30-04-2015"
"10494422","-","-"
"10494574","12-09-2013","18-09-2016"
"10494580","28-08-2003","28-08-2003"
"10494585","07-04-2009","12-05-2015"
"10494619","09-05-2007","09-05-2007"
"10495019","29-08-2014","07-08-2006"
"10495189","08-10-2020","08-11-2007"
"10495338","16-05-2005","02-07-2003"
"10495375","-","-"
"10495725","01-01-1900","-"
"10496499","",""
"10496502","06-05-2009","06-05-2008"
"10496558","06-04-2010","06-04-2010"
"10496560","01-01-1900","-"
"10496572","14-04-2010","29-12-2009"
"10496887","-","-"
"10496915","01-01-1900","19-08-2010"
"10497125","13-12-2022","13-12-2022"
"10497353","15-04-2010","15-04-2010"
"10497357","01-01-1900","08-02-2011"
"10497491","-","-"
"10497497","28-02-2011","28-02-2011"
"10497510","06-04-2010","06-04-2010"
"10497558","10-07-2009","02-01-2014"
"10497581","05-04-2019","05-04-2019"
"10498617","03-07-2008","03-07-2008"
"10498692","13-07-2009","13-12-2011"
"10498735","09-07-2010","30-09-2019"
"10500239","01-01-1901","05-05-1992"
"10500704","23-11-1981","01-06-2012"
"10502285","09-09-1979","19-07-2022"
"10502301","01-01-1900","01-01-1900"
"10502302","30-08-2004","30-08-2004"
"10502416","10-09-1965","10-09-1965"
"10504163","31-12-2004","24-10-2019"
"10504601","07-06-1994","07-06-1994"
"10504602","01-01-1900","20-06-1992"
"10504603","05-04-2002","08-10-2019"
"10504606","27-05-1998","22-08-1995"
"10504608","19-02-1998","02-01-2019"
"10504609","",""
"10504612","19-11-1965","01-12-2020"
"10504613","01-01-1967","01-01-1900"
"10504614","29-06-1967","10-06-2021"
"10504616","",""
"10504617","15-01-1976","08-10-2019"
"10504620","",""
"10505064","-","-"
"10505067","-","-"
"10505323","27-04-2006","27-04-2006"
"10505330","23-06-2008","29-06-2020"
"10505463","11-08-1975","11-08-1975"
"10505950","15-04-2009","27-06-2012"
"10506064","26-06-2009","26-06-2009"
"10506087","01-01-1901","15-07-2008"
"10506140","21-07-2009","21-07-2009"
"10506165","17-02-2021","21-08-2019"
"10508363","01-01-1900","-"
"10600213","17-01-1989","17-01-1989"
"10600968","-","-"
"10601342","01-01-1965","01-01-1965"
"10601343","25-03-1967","17-10-2019"
"10602553","24-06-1984","02-06-1990"
"10603328","17-01-1989","22-09-2016"
"10603342","08-08-1998","17-09-2019"
"10603674","11-04-1989","08-12-2021"
"10603681","01-01-1900","-"
"10603684","01-01-1900","22-05-2019"
"10603700","01-01-1900","29-09-2014"
"10603705","30-05-1992","30-05-1992"
"10603709","01-01-1900","20-03-2023"
"10603710","16-05-1983","15-07-1985"
"10603713","11-12-1990","11-12-1990"
"10603715","20-08-1997","20-08-1999"
"10603716","01-01-1900","-"
"10603717","22-08-1988","12-10-1987"
"10603718","08-10-1969","12-10-2015"
"10603719","01-01-1900","-"
"10603721","05-10-1998","22-03-2018"
"10603723","31-03-2023","18-08-2020"
"10603724","01-01-1900","28-02-2019"
"10603727","",""
"10604406","28-11-1995","04-09-2020"
"10604407","02-10-1989","04-09-2020"
"10604409","01-01-1900","-"
"10604624","01-05-2000","07-07-2000"
"10604626","",""
"10604739","01-01-1901","24-04-2004"
"10604740","01-01-1979","27-03-2002"
"10604742","11-10-2005","23-07-2005"
"10604743","",""
"10604744","15-06-2000","17-09-2019"
"10604745","24-10-1995","23-10-1996"
"10604746","11-04-1989","15-07-1989"
"10606489","13-11-2006","13-11-2006"
"10606630","01-01-1901","30-12-1996"
"10606637","01-01-1900","06-05-2014"
"10609329","17-04-2004","27-07-2004"
"10609724","07-01-2002","31-08-2021"
"10609725","06-02-2008","31-08-2021"
"10609726","29-08-1971","23-08-2013"
"10609729","01-01-1900","-"
"10609731","",""
"10609732","14-06-2002","21-09-2020"
"10609733","01-01-1900","08-09-2014"
"10609735","19-06-2012","19-06-2012"
"10609738","01-01-1900","01-01-1900"
"10609876","30-09-2011","30-09-2011"
"10610282","05-08-2003","30-08-2020"
"10610283","01-01-1901","29-08-1998"
"10643905","26-06-1997","04-07-1996"
"10643906","15-06-2007","15-06-2007"
"10644273","10-10-1987","17-01-1989"
"10644682","30-07-2005","17-02-2009"
"10644857","10-10-2001","31-08-2020"
"10645010","01-01-1900","01-01-1900"
"10645011","18-10-2004","18-10-2004"
"10645155","",""
"10645165","01-12-1966","17-07-1969"
"10645179","10-08-2007","04-06-2008"
"10645763","08-01-2008","08-01-2008"
"10645940","18-09-2007","18-09-2007"
"10645951","15-01-2004","15-01-2003"
"10645953","08-03-2004","08-03-2004"
"10645954","17-09-1965","27-11-2013"
"10645955","06-03-1986","06-03-1986"
"10646072","-","-"
"10646090","05-04-2008","26-09-2012"
"10646146","01-01-1900","20-04-2015"
"10646148","-","-"
"10646186","25-03-2008","31-08-2014"
"10646213","01-01-1900","28-02-2009"
"10646252","11-11-2008","11-11-2008"
"10646302","29-06-2007","29-06-2007"
"10646408","",""
"10646513","08-04-2009","01-05-2009"
"10646536","26-12-2007","28-08-2008"
"10646870","-","-"
"10646935","11-09-2009","11-09-2009"
"10646984","-","-"
"10647217","06-06-2008","04-08-2011"
"10647291","15-06-2009","15-06-2009"
"10647497","13-07-2009","13-07-2009"
"10647685","25-06-2009","25-06-2009"
"10647766","30-12-2009","30-12-2009"
"10647825","11-06-2011","16-06-2011"
"10648144","20-08-2019","08-12-2021"
"10648174","27-01-2011","27-08-2013"
"10648862","-","29-02-2012"
"10648863","11-01-2012","11-01-2012"
"10648865","01-01-1901","30-11-2010"
"10648870","10-04-2012","10-04-2012"
"10648882","01-01-1900","19-07-2018"
"10648899","30-05-2012","30-05-2012"
"10700642","12-05-1997","18-06-2020"
"10700674","08-08-1983","02-11-1988"
"10700688","20-02-1989","20-02-1989"
"10700989","04-07-2008","12-05-2009"
"10702411","22-06-1955","30-08-1986"
"10702421","10-10-1992","01-03-1993"
"10702424","01-01-1987","10-09-2019"
"10702512","07-02-1989","14-09-2002"
"10702513","-","-"
"10702517","10-06-2002","31-01-2004"
"10702681","-","-"
"10702714","06-01-1977","04-08-2020"
"10702822","-","-"
"10702850","-","13-07-2007"
"10702994","01-05-2004","01-05-2004"
"10703052","-","-"
"10703149","",""
"10703230","01-01-1901","01-06-2009"
"10703236","02-02-1972","25-08-2022"
"10703237","-","-"
"10703239","14-10-2006","14-10-2006"
"10703649","26-05-2012","01-07-2011"
"10800475","21-12-1990","21-12-1990"
"10800477","01-07-1991","14-01-1994"
"10800508","-","-"
"10800695","18-10-1990","13-05-2013"
"10800699","06-09-1990","06-12-1989"
"10802027","27-04-1999","27-04-1999"
"10802054","12-12-2001","12-12-2001"
"10802078","10-03-1971","28-04-2022"
"10802079","14-07-1981","14-07-1981"
"10802086","04-06-2002","10-12-2004"
"10803006","15-04-2004","15-04-2004"
"10803033","18-10-2000","22-04-2020"
"10803036","02-07-1995","18-01-1996"
"10803528","04-08-2022","04-08-2022"
"10803530","11-11-2003","11-11-2003"
"10803541","01-07-1985","01-07-1991"
"10804165","23-02-2001","23-02-2001"
"10804168","20-05-2003","22-05-2023"
"10804874","29-06-1998","07-09-2020"
"10804875","05-09-2002","13-08-2020"
"10804876","11-04-2022","11-04-2022"
"10804878","12-10-1990","19-08-2020"
"10804883","01-07-1990","25-11-2019"
"10804899","14-03-2020","14-03-2020"
"10805029","14-07-1981","25-10-2019"
"10806091","",""
"10806092","01-01-1998","29-06-1998"
"10807042","15-01-1991","28-10-2019"
"10807043","01-01-1900","01-01-1900"
"10807044","12-06-1986","05-02-1991"
"10807046","21-03-1990","19-12-1988"
"10807048","05-07-2000","05-07-2000"
"10807049","17-11-1977","24-04-1991"
"10807050","20-07-2000","20-07-2000"
"10807053","31-03-2018","21-01-2020"
"10807054","01-07-1989","21-01-1991"
"10807055","24-04-1993","24-04-1993"
"10807056","01-01-1900","-"
"10807212","21-03-1990","21-03-1990"
"10807215","01-01-1900","02-01-1990"
"10807231","01-08-1990","01-08-1990"
"10807235","16-01-1991","28-11-1984"
"10807241","04-02-1991","04-02-1991"
"10807243","04-03-1992","04-03-1992"
"10807245","-","-"
"10807246","01-07-1986","21-12-1990"
"10807569","",""
"10807572","-","-"
"10807573","04-09-1990","31-10-2019"
"10807616","24-04-1991","08-07-2019"
"10809306","",""
"10809324","30-04-2007","30-04-2007"
"10809715","14-03-2004","01-04-2004"
"10809748","16-03-2005","24-08-2004"
"10809920","20-06-2006","16-10-2008"
"10810194","13-07-2009","22-06-2010"
"10810245","07-08-2007","07-08-2007"
"10810267","29-01-2007","15-09-2023"
"10810428","12-02-2007","12-02-2007"
"10810658","10-07-2006","07-09-2015"
"10810713","01-01-1900","10-04-2008"
"10810981","01-01-1900","20-04-2014"
"10810991","25-05-2007","16-11-2017"
"10811003","26-02-2006","26-02-2006"
"10811203","11-12-2007","06-06-2008"
"10812287","09-11-2009","09-11-2009"
"10812426","16-05-2016","16-11-2017"
"10813433","27-08-2008","27-08-2008"
"10814070","05-02-1991","16-05-2017"
"10814072","27-01-2011","27-01-2011"
"10814074","30-03-1999","30-03-1999"
"10814075","30-03-1999","30-03-1999"
"10814079","18-08-2010","21-11-2017"
"10814086","13-07-2007","13-07-2007"
"10814089","10-03-2007","09-10-2008"
"10814098","21-01-2009","01-09-2022"
"10814099","29-11-2007","29-11-2007"
"10814593","28-07-2009","21-12-2011"
"10814597","28-01-2010","15-03-2010"
"10814598","15-03-2010","15-03-2010"
"10814603","03-12-2007","03-12-2007"
"10814611","11-08-2011","11-08-2011"
"10814695","16-05-2006","16-11-2017"
"10814698","08-12-2009","08-12-2009"
"10814893","01-01-1900","20-04-2014"
"10814927","17-04-2012","17-04-2012"
"10814935","02-11-2010","04-06-2007"
"10814957","30-11-2009","30-11-2009"
"10814961","05-01-2009","05-01-2009"
"10814977","09-06-2010","14-02-2012"
"10815004","02-02-2011","14-08-2023"
"10815033","26-10-2009","26-10-2009"
"10815075","",""
"10815077","16-03-2011","16-03-2011"
"10815288","29-07-2011","29-07-2011"
"10815292","01-01-1901","26-03-2012"
"10900207","10-09-2014","18-09-2014"
"10900424","09-11-1981","24-11-1981"
"10900437","01-01-1900","01-01-1900"
"10900451","-","-"
"10900602","23-08-2019","23-08-2019"
"10900614","10-09-1994","16-10-2019"
"10900615","14-12-1971","26-02-2020"
"10900627","21-03-1987","26-02-2020"
"10900753","01-01-1901","15-09-2005"
"10900867","14-04-2005","27-11-2007"
"10900986","08-08-1989","11-08-1989"
"10901002","08-10-1984","08-10-1984"
"10901158","11-09-1997","25-07-2018"
"10901163","02-04-1997","24-08-2020"
"10901376","07-07-2006","07-07-2006"
"10901427","19-07-2007","19-07-2007"
"10901436","28-03-2007","16-03-2023"
"10901437","21-05-2007","21-05-2007"
"10901449","-","-"
"10901629","01-01-2012","03-12-2012"
"10901841","09-06-2011","07-06-2011"
"10901854","08-04-2011","08-04-2011"
"11000205","07-04-1993","15-08-2012"
"11000319","07-07-2000","07-07-2000"
"11000358","",""
"11000370","22-05-1993","25-01-2021"
"11000371","30-08-1986","30-08-1986"
"11000382","16-05-1997","16-05-1997"
"11002052","27-10-2008","27-10-2008"
"11002144","16-03-2005","16-03-2005"
"11002145","30-06-1986","11-02-2021"
"11002205","02-07-2002","19-04-2021"
"11002206","06-02-2006","06-02-2006"
"11002207","08-02-2004","21-01-2014"
"11002208","19-03-2001","26-01-2021"
"11002210","01-01-1900","01-01-1900"
"11002211","05-02-2020","19-10-2020"
"11002212","23-03-2006","03-11-2010"
"11002570","23-04-2008","23-04-2008"
"11002571","23-04-2008","23-04-2008"
"11002576","14-06-2007","06-03-2008"
"11003119","03-01-2008","13-04-2012"
"11003175","29-07-2011","29-07-2011"
"11003249","",""
"11003260","07-12-2011","07-12-2020"
"19214102","17-01-2001","29-04-2021"
"20100110","01-04-1991","16-12-2013"
"20100114","01-01-1900","27-12-2013"
"20100116","01-07-1991","16-01-2014"
"20100117","17-05-1985","30-09-2013"
"20100131","29-11-2004","12-09-2013"
"20100132","03-05-1984","20-11-2013"
"20100133","",""
"20100139","04-07-2014","04-07-2014"
"20100141","01-08-1997","14-03-2014"
"20100142","13-12-1988","23-01-2014"
"20100143","20-05-1906","10-06-2022"
"20100157","01-01-1900","09-04-1980"
"20100158","01-01-1900","01-01-1900"
"20100159","02-06-1969","02-06-1969"
"20100160","02-06-1969","02-06-1969"
"20100161","-","-"
"20100162","-","-"
"20100163","-","-"
"20100164","-","-"
"20100166","-","-"
"20100168","-","-"
"20100282","24-09-1954","18-01-1983"
"20100288","01-01-1900","11-11-2014"
"20100306","19-04-2004","09-01-2014"
"20100307","09-09-1987","30-08-2020"
"20100783","02-06-1969","02-06-1969"
"20101471","03-12-1988","03-12-1988"
"20101472","07-05-1988","09-06-2014"
"20101476","09-04-1986","04-11-2013"
"20101478","01-07-2002","04-11-2013"
"20101480","21-09-1995","29-11-2013"
"20101489","28-11-2000","20-01-1997"
"20101490","18-06-1989","29-12-2015"
"20101492","19-04-1983","12-05-2014"
"20101493","27-09-2013","25-09-2013"
"20101498","-","-"
"20101500","-","-"
"20101501","03-09-1979","03-09-1979"
"20101504","-","-"
"20101509","03-06-2012","18-09-2013"
"20101510","22-10-1984","25-07-2014"
"20101517","19-12-1990","28-05-2014"
"20101560","05-03-1990","01-01-1900"
"20101580","06-06-2000","17-07-2014"
"20101582","",""
"20101590","01-11-2012","21-07-2014"
"20101591","18-08-1988","28-10-2013"
"20101592","10-01-1988","13-12-2013"
"20101595","07-04-1994","23-10-2013"
"20101599","01-01-1901","03-10-2013"
"20101632","10-03-2003","13-01-2014"
"20101634","28-12-2007","04-08-2017"
"20101636","01-01-1900","01-01-1900"
"20101637","22-11-2012","08-09-2014"
"20101638","08-11-2011","08-11-2013"
"20101639","06-02-1995","27-12-2018"
"20101642","28-08-1988","18-12-2014"
"20101645","05-07-2002","28-10-2013"
"20101652","04-07-1990","13-01-2014"
"20101660","16-03-2009","21-03-2016"
"20101662","14-03-2014","14-03-2014"
"20101665","-","-"
"20101673","01-01-1901","01-01-1900"
"20101675","07-04-2011","21-10-2013"
"20101677","23-01-2016","18-03-2016"
"20101679","12-08-1974","12-08-1974"
"20101680","23-03-1987","08-11-2013"
"20101681","27-12-1994","26-03-2013"
"20102433","23-10-2014","14-11-2014"
"20102445","20-01-1990","12-09-2014"
"20102451","26-08-1989","04-04-2014"
"20102457","01-01-1900","17-06-1996"
"20102461","20-04-1986","10-06-1989"
"20102536","01-01-1900","20-01-1997"
"20102539","27-06-1987","06-02-2014"
"20102547","04-11-1991","14-03-2014"
"20102551","24-05-2016","14-11-2014"
"20102577","30-11-1994","15-08-2016"
"20102581","01-03-1977","07-03-1997"
"20102594","09-10-2013","24-03-2014"
"20102600","-","-"
"20102602","-","-"
"20102610","01-01-1900","14-11-2014"
"20102617","21-12-1993","22-12-2014"
"20102621","30-09-1998","10-02-2014"
"20102626","01-01-1901","16-12-2014"
"20102633","29-09-1984","10-05-1994"
"20102644","05-05-2010","28-04-2014"
"20102647","10-11-2014","22-06-2020"
"20103243","31-12-1993","20-10-2014"
"20103245","11-01-1998","14-02-2014"
"20103247","28-09-1995","25-11-2015"
"20103259","01-01-1900","01-01-1900"
"20103265","11-11-2019","11-09-2019"
"20103266","01-11-2010","09-01-2014"
"20103271","",""
"20103500","26-07-2016","17-03-2016"
"20103501","13-04-1989","11-11-2014"
"20103504","11-09-1979","31-12-2014"
"20103525","06-12-2010","05-02-2014"
"20103527","20-03-2000","20-03-2000"
"20103528","29-03-2000","14-11-2013"
"20103534","01-01-1901","14-03-2014"
"20103535","13-04-1989","10-09-2015"
"20103536","10-03-1999","04-09-2015"
"20103537","08-10-2013","30-06-2015"
"20103540","",""
"20103542","15-12-1987","11-12-2013"
"20103545","19-06-1996","28-10-2013"
"20103547","17-02-1989","10-06-2014"
"20103550","19-11-1990","09-07-2015"
"20103558","",""
"20103562","28-12-1984","19-11-2013"
"20103640","07-08-1989","29-04-2014"
"20103642","14-04-1993","09-01-2014"
"20103643","03-10-2013","16-10-2013"
"20103645","10-03-2003","19-12-2013"
"20103647","01-05-1990","19-10-1991"
"20103655","09-11-2009","13-03-1991"
"20103656","30-06-1988","31-05-1989"
"20103658","13-09-1994","18-11-2013"
"20103659","01-01-1901","11-10-2013"
"20103664","27-06-1987","27-06-1987"
"20103667","25-11-1975","24-07-2020"
"20103671","02-09-1998","14-11-2013"
"20103672","05-07-1990","14-03-2014"
"20103674","01-06-1989","22-12-2014"
"20103676","19-09-1991","24-03-2014"
"20103677","",""
"20103684","19-07-1984","11-11-2014"
"20103686","09-11-1984","14-03-2014"
"20103687","05-06-1984","14-11-2013"
"20103700","",""
"20103701","01-01-1901","01-01-1900"
"20103704","19-04-1985","04-08-2015"
"20103708","11-09-2000","21-09-2015"
"20103712","",""
"20103717","19-09-2008","08-11-2013"
"20103720","19-09-2001","21-04-2014"
"20103721","19-07-1984","01-07-2014"
"20103726","07-08-1990","16-01-2014"
"20103727","05-09-1977","19-12-2013"
"20103728","17-06-1996","08-11-2013"
"20103731","30-01-2014","30-01-2014"
"20103734","29-08-2012","02-02-2023"
"20103735","20-01-1997","10-12-2013"
"20103736","",""
"20103745","12-05-1993","29-12-2014"
"20103749","11-08-2011","14-02-2014"
"20103752","",""
"20103756","17-07-1996","21-04-2014"
"20103765","05-12-2006","03-10-2002"
"20103768","15-04-1998","08-10-2015"
"20103778","-","-"
"20103779","18-05-1994","18-07-1994"
"20103781","-","-"
"20103783","-","-"
"20103784","-","-"
"20103786","21-07-1977","07-03-1997"
"20103788","03-07-1972","05-07-1993"
"20103793","31-10-1994","01-01-1900"
"20107209","17-04-2013","30-11-2015"
"20107254","17-01-1968","23-06-2015"
"20107266","24-12-2014","31-12-2014"
"20107268","31-08-2017","13-07-2017"
"20107353","01-05-2012","21-05-2014"
"20107358","10-09-2007","10-09-2007"
"20107361","",""
"20107363","11-02-1986","11-02-1986"
"20107406","11-02-1986","05-11-2014"
"20107407","12-07-1983","11-11-2014"
"20107408","31-12-2014","31-12-2014"
"20107410","20-08-1985","29-12-2014"
"20107412","15-03-1975","15-12-2014"
"20107417","01-01-1900","12-12-2014"
"20107418","25-08-1993","23-10-2013"
"20107419","16-10-2015","04-05-2010"
"20107420","05-07-1985","08-11-2013"
"20107421","17-05-1989","02-12-2014"
"20107422","28-11-2014","01-11-1993"
"20107426","02-05-1994","28-02-2014"
"20107428","16-12-2014","16-12-2014"
"20107432","05-09-2018","04-09-2000"
"20107434","10-09-1996","13-09-1978"
"20107435","23-03-1996","23-03-1996"
"20107437","26-05-1979","26-05-1979"
"20107438","-","-"
"20107439","-","-"
"20107440","19-02-1991","19-02-1991"
"20107445","18-05-1995","13-08-2015"
"20107451","25-09-1982","13-12-2013"
"20107452","17-06-1996","11-01-2016"
"20107453","01-09-1986","06-03-2015"
"20107455","20-01-1997","02-12-2014"
"20107458","11-01-1998","31-12-2014"
"20107459","30-08-2001","24-08-2014"
"20107461","01-01-1900","20-06-2014"
"20107463","22-10-1984","29-12-2014"
"20107464","20-01-1997","22-02-2016"
"20107466","20-01-1997","08-04-2014"
"20107467","16-01-2019","03-08-1973"
"20107471","18-01-1989","05-02-2014"
"20107472","25-09-1998","17-07-2014"
"20107474","01-01-1901","23-01-2014"
"20107475","21-08-1986","15-12-2014"
"20107598","18-05-2016","18-05-1986"
"20109187","01-09-2016","01-09-2016"
"20109247","11-07-2013","08-09-2014"
"20109254","30-10-2008","14-08-2015"
"20109260","07-07-2009","24-11-2014"
"20109304","06-08-2008","22-06-2016"
"20109415","01-01-1900","04-05-2010"
"20109490","01-01-1900","23-10-2003"
"20109505","",""
"20109526","21-04-2021","19-11-2013"
"20109617","16-01-2015","06-06-2011"
"20177915","31-01-2012","29-04-2014"
"20177923","25-05-2010","06-06-2012"
"20178280","01-01-1900","13-03-2012"
"20178281","",""
"20178283","27-06-2016","31-08-2012"
"20200590","",""
"20200592","28-05-1986","28-05-1986"
"20200594","06-05-1996","28-06-1999"
"20200596","-","-"
"20200597","17-07-1995","17-07-1995"
"20200599","12-08-1997","12-08-1997"
"20200600","01-01-1900","01-01-1900"
"20200605","02-07-1997","02-07-1997"
"20202270","16-09-1996","16-09-1996"
"20202276","23-11-2000","01-11-2012"
"20202277","02-03-1987","02-03-1987"
"20202280","14-04-1999","14-03-2005"
"20202281","30-04-1999","30-04-1999"
"20202283","16-08-1999","16-09-1999"
"20202285","30-06-1988","30-06-1988"
"20202287","26-01-1993","19-10-1994"
"20203803","25-07-2000","21-04-2005"
"20206224","28-04-2004","28-04-2004"
"20209201","24-07-1959","24-07-1959"
"20209202","20-02-1968","20-02-1968"
"20209242","17-07-2007","17-07-1900"
"20210710","04-05-1992","04-05-2004"
"20211492","01-01-1901","01-05-1974"
"20211497","30-09-1985","08-07-1986"
"20211498","24-07-1974","05-08-1999"
"20211510","10-08-1964","10-08-1964"
"20212909","14-04-1999","14-04-1999"
"20212911","20-11-1984","15-04-2014"
"20212912","01-09-1965","01-09-1965"
"20212913","01-07-1965","15-04-2014"
"20212916","19-04-2022","19-04-2022"
"20212917","",""
"20212935","12-12-1999","11-07-2000"
"20212936","05-08-1998","29-09-1998"
"20212952","15-07-1979","17-04-1980"
